timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30794.0,Front-right,82.45,-13.18,77.95,-11.57,13.12,-2.6,-0.77,-0.67,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,30795.0,Front-right,22.58,-45.25,18.08,-43.64,-1.72,4.62,-1.43,0.46,10.49,9.44,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30797.0,Front-right,95.56,-12.38,91.06,-10.77,14.2,-3.28,-0.21,-0.21,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,30798.0,Front-right,14.72,-4.8,10.21,-3.19,9.66,-1.18,-1.25,-1.19,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,30799.0,Front-right,18.93,-31.69,14.43,-30.08,-1.25,2.87,-2.39,0.92,11.54,10.5,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30800.0,Front-right,16.07,-21.02,11.56,-19.41,-0.53,0.18,-0.31,-0.08,21.84,105.61,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30801.0,Behind,-8.12,-0.08,-3.62,0.0,0.15,0.01,-0.24,-0.28,24.39,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,30802.0,Front-right,14.07,-13.6,9.56,-11.99,-0.48,0.0,-0.14,-0.16,19.93,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30803.0,Front-right,33.11,-84.4,28.61,-82.79,-2.88,8.91,-0.33,-0.07,9.94,9.29,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30804.0,Rear-right,-9.09,-3.59,-4.58,-1.98,7.97,0.1,-0.12,-0.14,0.57,20.55,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30805.0,Behind,-23.14,-0.42,-18.63,0.0,4.55,0.28,1.19,1.57,4.09,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,30806.0,Rear-right,-23.38,-3.94,-18.87,-2.33,7.26,0.45,-0.24,-0.29,2.6,5.15,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30807.0,Rear-right,-38.77,-2.02,-34.26,-0.41,6.06,0.86,0.68,1.09,5.65,0.48,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30809.0,Front-right,25.4,-55.72,20.89,-54.11,-1.5,3.81,-0.68,0.1,13.88,14.2,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30810.0,Rear-right,-48.15,-3.26,-43.65,-1.65,2.35,0.37,-0.99,-1.46,18.6,4.42,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,30794.0,Front-right,83.83,-13.01,79.32,-11.4,13.19,-2.56,-0.95,-0.82,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,30795.0,Front-right,22.64,-44.68,18.13,-43.07,-1.66,4.47,-1.74,0.53,10.94,9.64,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30797.0,Front-right,97.04,-12.23,92.53,-10.62,14.22,-3.41,-0.47,-0.42,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,30798.0,Front-right,15.72,-4.82,11.22,-3.21,9.91,-0.93,-1.35,-1.33,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,30799.0,Front-right,18.97,-31.32,14.46,-29.71,-1.17,2.69,-1.43,0.38,12.38,11.04,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30800.0,Front-right,16.12,-20.92,11.61,-19.31,-0.47,0.16,-0.39,-0.12,24.47,118.41,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30801.0,Behind,-8.11,-0.12,-3.6,0.0,0.24,0.01,-0.55,-0.65,14.74,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30802.0,Front-right,14.09,-13.53,9.58,-11.92,-0.43,0.0,-0.19,-0.21,22.3,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,30803.0,Front-right,33.25,-83.34,28.74,-81.73,-2.87,8.9,0.41,-0.5,10.0,9.18,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30804.0,Rear-right,-8.27,-3.62,-3.76,-2.01,8.05,0.14,-0.45,-0.53,0.47,14.55,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,30805.0,Behind,-22.71,-0.51,-18.2,0.0,4.37,0.27,1.1,1.44,4.17,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30806.0,Rear-right,-22.64,-4.02,-18.13,-2.41,7.34,0.46,-0.35,-0.42,2.47,5.26,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,30807.0,Rear-right,-38.16,-2.13,-33.65,-0.52,5.95,0.87,1.16,1.85,5.66,0.6,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,30809.0,Front-right,25.53,-55.21,21.02,-53.6,-1.46,3.77,-0.41,-0.1,14.35,14.22,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30810.0,Rear-right,-47.89,-3.47,-43.38,-1.86,2.56,0.41,-1.14,-1.68,16.97,4.53,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
