obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30683,1,70.6903,485.4497,-0.2314,6.5163,-0.2333,1071
30683,2,71.3540,485.3602,-0.1339,6.5381,0.0063,1071
30683,3,71.9428,485.3424,-0.0302,6.5660,0.4729,1071
30683,4,72.5852,485.3972,0.0851,6.6109,1.7512,1071
30683,5,73.1778,485.5140,0.1945,6.7993,1.4297,1071
30683,6,73.8057,485.6949,0.2804,7.0185,2.2277,1071
30683,7,74.4567,485.9298,0.3463,7.2195,2.1566,1071
30683,8,75.1243,486.2085,0.3954,7.4008,1.3612,1071
30683,9,75.8021,486.5202,0.4309,7.5687,1.6054,1071
30683,10,76.4915,486.8580,0.4556,7.7728,2.5500,1071
30683,11,77.1941,487.2165,0.4718,7.9656,2.5331,132
30683,12,77.9099,487.5903,0.4813,8.1225,1.6802,132
30683,13,78.6388,487.9752,0.4857,8.2780,1.3359,132
30683,14,79.3848,488.3696,0.4863,8.4874,1.9169,132
30683,15,80.1512,488.7725,0.4840,8.7037,1.7457,132
30683,16,80.9321,489.1809,0.4818,8.8490,1.4397,132
30683,17,81.7254,489.5967,0.4827,8.9916,1.4760,132
30683,18,82.5295,490.0219,0.4864,9.1366,1.6170,132
30683,19,83.3440,490.4590,0.4924,9.2879,1.7166,132
30683,20,84.1724,490.9114,0.4999,9.4874,1.8493,132
30683,21,85.0109,491.3787,0.5084,9.6208,0.7128,132
30683,22,85.8490,491.8534,0.5153,9.6233,-0.4085,132
30683,23,86.6844,492.3319,0.5202,9.6474,0.7480,132
30683,24,87.5170,492.8128,0.5237,9.5929,-0.9205,132
30683,25,88.3473,493.2953,0.5263,9.6038,-0.0021,132
30683,26,89.1759,493.7788,0.5281,9.5873,-0.2460,132
30683,27,90.0077,494.2656,0.5295,9.6348,-0.1153,132
30683,28,90.8358,494.7514,0.5305,9.5861,-0.5790,132
30683,29,91.6639,495.2379,0.5312,9.5861,-0.7349,132
30683,30,92.5019,495.7296,0.5305,9.6414,-0.0756,1092
30683,31,93.3343,496.2110,0.5242,9.6039,-0.7596,1092
30683,32,94.1687,496.6892,0.5204,9.6468,1.0037,1092
30683,33,95.0031,497.1667,0.5198,9.5929,-1.0098,1092
30683,34,95.8370,497.6441,0.5199,9.6400,1.0733,1092
30683,35,96.6709,498.1218,0.5202,9.6439,1.1771,1092
30683,36,97.5054,498.6001,0.5204,9.6210,-0.0728,1092
30683,37,98.3391,499.0782,0.5206,9.5945,-0.8138,1092
30683,38,99.1744,499.5572,0.5207,9.6282,-0.2105,1092
30683,39,100.0088,500.0359,0.5208,9.6143,-0.3836,1092
30683,40,100.8434,500.5148,0.5209,9.6448,0.6942,1092
30683,41,101.6768,500.9922,0.5201,9.5983,0.0233,1092
30683,42,102.5106,501.4695,0.5199,9.6109,0.0273,1092
30683,43,103.3472,501.9451,0.5169,9.6205,-0.2415,1092
30683,44,104.1858,502.4186,0.5139,9.6276,-0.2300,1092
30683,45,105.0230,502.8889,0.5118,9.5949,-0.4330,134
30683,46,105.8541,503.3542,0.5103,9.4531,-2.9617,134
30683,47,106.6466,503.7967,0.5093,8.9671,-4.4956,134
30683,48,107.3939,504.2133,0.5085,8.4226,-5.4449,134
30683,49,108.0939,504.6031,0.5080,7.8781,-5.4449,134
30683,50,108.7465,504.9661,0.5076,7.3336,-5.4449,134
30683,51,109.3516,505.3025,0.5073,6.7891,-5.4449,134
30683,52,109.9616,505.6415,0.5071,7.0449,2.5584,134
30683,53,110.5941,505.9928,0.5070,7.3008,2.5584,134
30683,54,111.2489,506.3565,0.5069,7.5566,2.5584,134
30683,55,111.9261,506.7326,0.5069,7.8125,2.5584,134
30683,56,112.6256,507.1211,0.5070,8.0683,2.5584,134
30683,57,113.3460,507.5223,0.5080,8.2969,2.0136,134
30683,58,114.0839,507.9351,0.5100,8.5015,1.8117,134
30683,59,114.8353,508.3568,0.5115,8.6645,1.8772,134
30683,60,115.6014,508.7880,0.5126,8.8519,2.3983,134
30683,61,116.3849,509.2299,0.5134,9.0511,2.1943,134
30683,62,117.1828,509.6805,0.5141,9.1996,1.3868,134
30683,63,117.9949,510.1397,0.5145,9.3783,1.9382,134
30683,64,118.8233,510.6084,0.5149,9.5547,1.4454,134
30683,65,119.6611,511.0827,0.5151,9.6180,-0.4164,134
30683,66,120.4971,511.5563,0.5153,9.5926,-0.6738,134
30683,67,121.3342,512.0305,0.5154,9.5956,-1.0290,134
30683,68,122.1711,512.5048,0.5155,9.6133,-0.2760,1094
30683,69,123.0095,512.9800,0.5156,9.6356,-0.1287,1094
30683,70,123.8475,513.4550,0.5156,9.6337,-0.0028,1094
30683,71,124.6823,513.9283,0.5157,9.6040,0.3001,1094
30683,72,125.5175,514.4018,0.5157,9.6095,0.3117,1094
30683,73,126.3548,514.8765,0.5157,9.6263,0.0160,1094
30683,74,127.1917,515.3510,0.5157,9.6004,-0.8486,1094
30683,75,128.0285,515.8255,0.5157,9.6177,-0.1056,1094
30683,76,128.8655,516.3000,0.5158,9.6074,-0.6192,1094
30683,77,129.6984,516.7811,0.5237,9.6019,-0.8022,1094
30683,78,130.5299,517.2681,0.5298,9.6334,-0.2083,1094
30683,79,131.3578,517.7594,0.5355,9.6268,-0.0915,1094
30683,80,132.1816,518.2542,0.5409,9.6256,0.5557,1094
30683,81,133.0044,518.7530,0.5448,9.6385,0.6260,136
30683,82,133.8254,519.2536,0.5476,9.6060,-0.4038,136
30683,83,134.6458,519.7564,0.5497,9.6279,0.2076,136
30683,84,135.4654,520.2602,0.5511,9.6296,0.3465,136
30683,85,136.2831,520.7640,0.5522,9.5935,-0.4507,136
30683,86,137.1024,521.2698,0.5530,9.6118,-0.6875,136
30683,87,137.9229,521.7768,0.5535,9.6429,-0.0775,136
30683,88,138.7402,522.2824,0.5539,9.6111,-0.0160,136
30683,89,139.5569,522.7879,0.5542,9.6032,-0.0390,136
30683,90,140.3742,523.2940,0.5544,9.6355,0.8855,136
30683,91,141.1923,523.8008,0.5546,9.6339,0.3963,136
30683,92,142.0118,524.3086,0.5547,9.6423,0.0562,136
30683,93,142.8276,524.8142,0.5547,9.6092,0.4330,136
30683,94,143.6439,525.3201,0.5548,9.6132,0.3881,136
30683,95,144.4610,525.8267,0.5548,9.6205,0.2582,136
30683,96,145.2789,526.3337,0.5549,9.6342,0.4386,136
30683,97,146.0959,526.8402,0.5549,9.5871,-1.0315,136
30683,98,146.9135,527.3470,0.5549,9.6027,-0.6889,136
30683,99,147.7287,527.8524,0.5549,9.5908,-0.0421,136
30683,100,148.5451,528.3586,0.5549,9.6160,0.4025,136
30683,101,149.3636,528.8664,0.5553,9.6304,-0.0601,136
30683,102,150.1792,529.3753,0.5578,9.6061,-0.3264,136
30683,103,150.9941,529.8858,0.5596,9.6147,-0.0372,136
30683,104,151.8077,530.3969,0.5608,9.6125,0.1567,136
30683,105,152.6229,530.9100,0.5618,9.6213,-0.4688,136
30683,106,153.4378,531.4238,0.5624,9.6448,0.4409,136
30683,107,154.2511,531.9370,0.5629,9.6474,1.2062,136
30683,108,155.0653,532.4513,0.5633,9.6158,-0.6007,136
30683,109,155.8797,532.9659,0.5635,9.6365,0.1322,136
30683,110,156.6931,533.4802,0.5637,9.6158,-0.3453,136
30683,111,157.5066,533.9946,0.5638,9.6174,-0.3180,136
30683,112,158.3195,534.5088,0.5639,9.6357,0.7045,136
30683,113,159.1323,535.0230,0.5640,9.6297,0.4442,136
30683,114,159.9449,535.5371,0.5641,9.6265,0.4434,136
30683,115,160.7578,536.0514,0.5641,9.6327,0.5338,136
30683,116,161.5713,536.5662,0.5641,9.6113,-0.6606,136
30683,117,162.3865,537.0783,0.5608,9.6328,0.1903,136
30683,118,163.2039,537.5854,0.5552,9.5957,-1.0004,136
30683,119,164.0217,538.0881,0.5511,9.6050,0.1785,136
30683,120,164.8412,538.5886,0.5482,9.6085,0.2037,136
30683,121,165.6612,539.0870,0.5461,9.6078,0.4491,136
30683,122,166.4841,539.5855,0.5445,9.6056,-0.6318,136
30683,123,167.3086,540.0836,0.5434,9.6457,0.4967,136
30683,124,168.1327,540.5806,0.5426,9.6175,-0.2172,136
30683,125,168.9573,541.0773,0.5421,9.6130,-0.5724,136
30683,126,169.7830,541.5741,0.5416,9.6279,-0.3409,136
30683,127,170.6046,542.0682,0.5413,9.5881,0.0102,136
30683,128,171.4294,542.5639,0.5411,9.6335,0.4137,136
30683,129,172.2530,543.0587,0.5410,9.5995,-0.3437,136
30683,130,173.0777,543.5540,0.5409,9.6379,0.7169,136
30683,131,173.9031,544.0497,0.5408,9.6351,0.2730,136
30683,132,174.7264,544.5441,0.5407,9.6107,0.2706,136
30683,133,175.5482,545.0375,0.5407,9.5868,0.0406,136
30683,134,176.3738,545.5332,0.5406,9.6227,-0.2756,136
30683,135,177.1986,546.0283,0.5406,9.6190,-0.0544,136
30683,136,178.0249,546.5229,0.5393,9.6248,-0.2309,136
30683,137,178.8494,547.0149,0.5379,9.6011,-0.0362,136
30683,138,179.6781,547.5083,0.5370,9.6432,-0.0556,136
30683,139,180.5060,548.0004,0.5362,9.6235,-0.3315,136
30683,140,181.3339,548.4919,0.5357,9.6369,0.3806,136
30683,141,182.1610,548.9826,0.5353,9.6113,-0.2628,136
30683,142,182.9872,549.4723,0.5351,9.5903,-0.5476,136
30683,143,183.8146,549.9627,0.5349,9.6079,-0.4342,136
30683,144,184.6399,550.4515,0.5347,9.5935,0.0640,136
30683,145,185.4683,550.9421,0.5346,9.6237,-0.1746,136
30683,146,186.2939,551.4310,0.5346,9.5841,-0.4441,136
30683,147,187.1215,551.9210,0.5345,9.6088,-0.3739,136
30683,148,187.9492,552.4110,0.5345,9.6219,0.1412,136
30683,149,188.7772,552.9011,0.5344,9.6260,0.1369,136
30683,150,189.6020,553.3894,0.5344,9.5851,0.0111,136
30684,1,-11.6532,467.8941,1.3678,7.2646,-0.1582,1084
30684,2,-11.4743,468.5813,1.3161,7.2490,-0.1763,1084
30684,3,-11.2659,469.2675,1.2759,7.2843,0.7592,1084
30684,4,-11.0177,469.9241,1.2093,7.2679,-0.2237,1084
30684,5,-10.7230,470.5360,1.1220,7.2423,-0.4394,1084
30684,6,-10.3758,471.1035,1.0216,7.2633,0.2512,1084
30684,7,-9.9796,471.6084,0.9054,7.2389,-0.3056,1084
30684,8,-9.5335,472.0466,0.7764,7.2442,0.0928,1084
30684,9,-9.0333,472.4244,0.6468,7.2387,-0.3352,1084
30684,10,-8.4924,472.7287,0.5124,7.2416,-0.5539,1084
30684,11,-7.9083,472.9650,0.3844,7.2704,0.3738,1084
30684,12,-7.2750,473.1447,0.2764,7.2452,-0.2201,1084
30684,13,-6.6069,473.2667,0.1806,7.3491,1.4082,1084
30684,14,-5.9018,473.3364,0.0986,7.4932,1.4493,1084
30684,15,-5.1636,473.3615,0.0339,7.6578,1.8323,1084
30684,16,-4.4005,473.3489,-0.0165,7.8052,1.5261,110
30684,17,-3.6173,473.3052,-0.0557,7.9555,1.2115,110
30684,18,-2.8176,473.2362,-0.0860,8.1130,1.5866,110
30684,19,-2.0045,473.1471,-0.1091,8.2372,1.1940,110
30684,20,-1.1769,473.0415,-0.1268,8.3982,1.5743,110
30684,21,-0.3356,472.9227,-0.1403,8.5400,1.3642,110
30684,22,0.5162,472.7936,-0.1504,8.6159,-0.2019,110
30684,23,1.3674,472.6580,-0.1579,8.6265,0.1607,110
30684,24,2.2178,472.5176,-0.1635,8.6231,0.0961,110
30684,25,3.0658,472.3740,-0.1677,8.6181,0.6530,110
30684,26,3.9150,472.2275,-0.1708,8.6216,0.1233,110
30684,27,4.7613,472.0795,-0.1731,8.5913,-0.0276,110
30684,28,5.6098,471.9297,-0.1748,8.6219,0.2036,110
30684,29,6.4552,471.7792,-0.1761,8.5865,0.0075,110
30684,30,7.3027,471.6276,-0.1770,8.6085,-0.0527,110
30684,31,8.1490,471.4756,-0.1777,8.5939,-0.2083,110
30684,32,8.9959,471.3230,-0.1782,8.6149,0.3884,110
30684,33,9.8448,471.1696,-0.1786,8.6227,-0.1695,110
30684,34,10.6915,471.0165,-0.1789,8.5940,-0.4116,110
30684,35,11.5365,470.8635,-0.1791,8.5882,0.0088,110
30684,36,12.3848,470.7099,-0.1791,8.6179,-0.1174,110
30684,37,13.2327,470.5562,-0.1792,8.6187,0.0555,110
30684,38,14.0788,470.4029,-0.1792,8.5988,-0.0318,110
30684,39,14.9269,470.2491,-0.1793,8.6251,0.2450,110
30684,40,15.7740,470.0956,-0.1793,8.5961,-0.5155,110
30684,41,16.6212,469.9420,-0.1793,8.6154,0.1971,110
30684,42,17.4673,469.7885,-0.1793,8.5983,-0.0560,110
30684,43,18.3136,469.6351,-0.1793,8.5856,-0.6298,110
30684,44,19.1617,469.4813,-0.1793,8.6302,0.4290,110
