obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
31,1,603.76782,706.28482,0.8495799,11.585733,0.21032,66985
325,1,632.2337,709.82074,2.8792965,8.8248672,-1.1026005,66725
344,1,655.46318,704.09809,3.0097771,13.907885,-0.544485,66819
350,1,597.09437,704.60487,4.5023361,8.7838455,-2.4835605,66823
31,2,604.58099,707.06121,0.7622615,11.556577,-0.32157,66985
325,2,631.38916,710.04749,2.8792906,8.6846701,-1.1050605,66725
344,2,654.09749,704.33323,2.9570697,13.848964,-0.85805,66819
350,2,596.91452,703.762,4.5020329,8.4525648,-3.314387,66823
31,3,605.45688,707.7562,0.6707454,11.521419,0.00189,66985
325,3,630.55618,710.27114,2.8792845,8.6038551,-0.5514425,66725
344,3,652.74067,704.60621,2.9273092,13.736275,-1.12743,66819
350,3,596.74138,702.95162,4.5017734,8.1209681,-3.285915,66823
31,4,606.3954,708.3677,0.5774679,11.556955,0.088075,66985
325,4,629.72725,710.4937,2.8792862,8.5743816,-0.402257,66725
344,4,651.41333,704.91703,2.9004786,13.623478,-0.72182,66725
350,4,596.57497,702.1737,4.5016845,7.7953818,-3.256191,66823
31,5,607.38556,708.88869,0.4843686,11.539034,-0.1858,66985
325,5,628.89996,710.71582,2.8791656,8.5234037,-0.3785165,66725
344,5,650.09495,705.25677,2.899315,13.591911,-0.25576,66725
350,5,596.4153,701.42703,4.5016239,7.4697299,-3.286306,66823
31,6,608.41534,709.30569,0.3847494,11.519795,0.53259,66985
325,6,628.08093,710.93594,2.8788804,8.4986783,-0.091111,66725
344,6,648.77448,705.56922,2.9048282,13.572326,-0.480565,66725
350,6,596.26242,700.71281,4.5017578,7.1381206,-3.315974,66823
31,7,609.50232,709.64687,0.3041451,11.645552,0.15832,66985
325,7,627.25854,711.15724,2.8783832,8.5051815,-0.2750375,66725
344,7,647.45624,705.89347,2.9014483,13.495798,-0.833795,66725
350,7,596.11681,700.03096,4.5019131,6.8065351,-3.3061655,66823
31,8,610.59989,709.88978,0.2178058,11.551459,0.00569,66985
325,8,626.43848,711.37852,2.8778475,8.4436708,-0.4942845,66725
344,8,646.15278,706.21122,2.8999011,13.405567,-0.57224,66725
350,8,595.97802,699.38155,4.5022461,6.4768875,-3.2966755,66823
31,9,611.73343,710.0596,0.1487072,11.64669,0.228145,66985
