obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
3391,1,-516.6129,554.5226,-2.0026,6.9824,-5.5662,409
3392,1,-525.0006,537.5915,0.0153,9.3865,0.2576,2254
3393,1,-560.358,522.6906,0.8469,11.7297,-0.9382,503
3394,1,-597.7219,485.3312,0.6566,11.7453,0.7172,503
3395,1,-579.5762,499.4599,0.6883,15.1466,-2.2783,503
3396,1,-508.2054,573.9749,-1.951,10.0039,-3.6202,409
3391,2,-516.8885,553.9268,-2.004,6.4258,-5.5662,409
3392,2,-524.141,537.7087,0.1354,9.4003,-0.098,2254
3393,2,-559.5566,523.5631,0.8278,11.8947,1.3121,503
3394,2,-596.8007,486.0589,0.6685,11.7625,0.6832,503
3395,2,-578.4405,500.4515,0.7177,15.1344,0.7835,503
3396,2,-508.5692,573.0702,-1.9531,9.6495,-4.046,409
3391,3,-517.1413,553.3817,-2.005,5.8692,-5.5662,409
3392,3,-523.3162,537.933,0.2654,9.4067,0.9445,2254
3393,3,-558.7351,524.4332,0.8141,12.0223,1.9397,503
3394,3,-595.8857,486.794,0.6767,11.73,-0.4024,503
3395,3,-577.3332,501.4705,0.7439,15.0564,-0.6159,503
3396,3,-508.9218,572.1971,-1.9546,9.3205,-3.8181,409
3391,4,-517.3711,552.8873,-2.0058,5.3125,-5.5662,409
3392,4,-522.5352,538.2643,0.4012,9.3615,-0.2603,2254
3393,4,-557.8998,525.3016,0.8047,12.0772,0.9666,503
3394,4,-594.9746,487.5342,0.6822,11.753,0.4868,503
3395,4,-576.2564,502.5176,0.7714,15.0547,-0.2204,503
3396,4,-509.2617,571.358,-1.9556,8.9878,-2.6468,409
3391,5,-517.5777,552.4436,-2.0064,4.7559,-5.5662,409
3392,5,-521.8272,538.7005,0.552,9.3807,-0.1497,2254
3393,5,-557.0555,526.1682,0.7984,12.0096,-3.6559,503
3394,5,-594.0651,488.278,0.6855,11.7453,-0.1841,503
3395,5,-575.2285,503.6052,0.8135,15.0338,0.3855,503
3396,5,-509.5888,570.5521,-1.9564,8.6195,-3.1114,409
3391,6,-517.7609,552.0503,-2.0069,4.1994,-5.5662,409
3392,6,-521.1479,539.2428,0.6737,9.4077,0.1209,2254
