timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,3510.0,Front-left,67.61,38.34,63.1,36.73,-0.3,6.1,-0.35,-0.63,212.0,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,3511.0,Front-right,22.97,-22.7,18.46,-21.09,-7.2,0.26,-0.14,0.18,2.56,81.08,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3512.0,Front-right,9.6,-3.46,5.1,-1.85,-6.35,0.01,-2.07,-0.93,0.8,328.04,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3513.0,Front,15.44,0.15,10.93,0.0,0.06,0.18,0.17,0.08,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,3515.0,Front-right,23.85,-14.99,19.34,-13.38,-7.23,0.0,-0.07,-0.03,2.67,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,3516.0,Front-right,16.97,-52.48,12.46,-50.87,-5.34,6.87,-0.33,1.7,2.33,7.4,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3517.0,Behind,-18.02,0.14,-13.51,0.0,1.16,-0.08,0.2,0.08,11.66,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,3518.0,Front-right,21.33,-33.33,16.82,-31.72,-6.73,2.62,-0.29,0.91,2.5,12.12,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3519.0,Front-right,7.51,-76.89,3.0,-75.28,-3.22,7.7,-0.11,-0.68,0.93,9.77,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3520.0,Behind,-33.3,0.28,-28.79,0.0,0.88,-0.07,0.63,0.27,32.85,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,3521.0,Behind,-44.4,0.38,-39.89,0.0,-0.98,-0.06,-1.53,-0.66,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,3510.0,Front-left,67.64,38.84,63.13,37.23,-0.3,6.07,0.19,0.57,212.2,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,3511.0,Front-right,22.22,-22.71,17.71,-21.1,-7.19,0.24,-0.15,0.11,2.46,88.07,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3512.0,Front-right,8.98,-3.48,4.47,-1.87,-6.08,0.01,-2.45,-1.1,0.74,281.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3513.0,Front,15.45,0.14,10.94,0.0,0.11,0.17,-0.03,-0.01,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,3515.0,Front-right,23.1,-15.03,18.59,-13.42,-7.21,0.0,-0.1,-0.04,2.58,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,3516.0,Front-right,16.34,-51.84,11.83,-50.23,-5.41,6.69,-0.31,1.31,2.19,7.5,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3517.0,Behind,-17.9,0.16,-13.39,0.0,1.16,-0.09,0.88,0.38,11.58,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,3518.0,Front-right,20.6,-33.12,16.09,-31.51,-6.75,2.45,-0.36,1.07,2.38,12.87,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3519.0,Front-right,7.06,-76.13,2.55,-74.52,-3.25,7.69,-0.11,-0.16,0.79,9.69,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3520.0,Behind,-33.21,0.33,-28.7,0.0,0.93,-0.09,0.06,0.02,31.0,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,3521.0,Behind,-44.49,0.45,-39.98,0.0,-0.88,-0.07,-0.58,-0.25,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,3510.0,Front-left,67.69,39.3,63.18,37.69,-0.18,6.05,-0.88,-0.44,342.08,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,3511.0,Front-right,21.45,-22.74,16.94,-21.13,-7.09,0.22,-0.9,-0.21,2.39,98.02,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,3512.0,Front-right,8.38,-3.5,3.87,-1.89,-5.74,0.01,-3.12,-1.41,0.68,268.14,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,3513.0,Front,15.46,0.12,10.95,0.0,0.21,0.16,-1.33,-0.6,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,3515.0,Front-right,22.34,-15.08,17.84,-13.47,-7.11,0.0,-0.85,-0.38,2.51,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,3516.0,Front-right,15.68,-51.22,11.18,-49.61,-5.38,6.48,-1.16,1.59,2.08,7.66,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
