timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30368.0,Front-left,94.19,3.43,89.68,1.82,-22.1,0.23,-0.01,-0.0,4.06,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30369.0,Front-left,113.97,3.32,109.47,1.71,-19.5,0.01,-0.29,-0.09,5.61,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30370.0,Front-left,33.85,177.49,29.34,175.88,-7.79,-14.51,-0.12,0.18,3.77,12.13,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30371.0,Front-right,85.08,-37.45,80.57,-35.84,-16.6,-5.96,-3.9,-4.71,4.85,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30372.0,Front,29.55,0.01,25.04,0.0,1.68,-0.0,-1.7,-0.51,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30373.0,Front-left,33.84,132.04,29.33,130.43,-7.79,-14.69,-0.36,0.99,3.77,8.88,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30374.0,Front,14.06,0.0,9.55,0.0,1.03,0.01,-0.73,-0.22,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30376.0,Front-right,101.12,-75.61,96.61,-74.0,-22.16,-1.07,-5.49,-2.1,4.36,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30377.0,Front-left,33.83,79.28,29.32,77.67,-7.79,-12.59,-0.03,-0.11,3.77,6.17,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30378.0,Front-left,33.83,49.88,29.32,48.27,-7.79,-13.57,-0.02,-0.15,3.77,3.56,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30379.0,Front-right,120.55,-76.38,116.04,-74.77,-21.18,4.17,-4.73,0.03,5.48,17.92,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30380.0,Front-left,33.84,144.11,29.33,142.5,-7.79,-10.39,-0.61,1.82,3.77,13.72,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30381.0,Front-left,131.87,98.55,127.36,96.94,-14.61,-29.83,-0.14,1.23,8.72,3.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30368.0,Front-left,91.98,3.43,87.47,1.82,-22.08,0.11,0.6,0.17,3.96,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30369.0,Front-left,112.02,3.31,107.51,1.7,-19.51,0.02,0.01,0.0,5.51,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30370.0,Front-left,33.09,176.04,28.58,174.43,-7.77,-14.49,0.01,-0.37,3.68,12.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30371.0,Front-right,83.45,-38.03,78.94,-36.42,-16.05,-5.66,-3.9,-4.74,4.92,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,30372.0,Front,29.73,0.0,25.22,0.0,1.87,-0.0,-1.92,-0.57,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30373.0,Front-left,33.08,130.57,28.57,128.96,-7.77,-14.67,-0.14,0.16,3.68,8.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30374.0,Front,14.17,0.0,9.66,0.0,1.22,0.0,-1.27,-0.38,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30376.0,Front-right,98.94,-75.74,94.43,-74.13,-21.56,-1.07,-5.51,-2.12,4.38,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,30377.0,Front-left,33.06,78.01,28.56,76.4,-7.77,-12.63,-0.12,0.08,3.67,6.05,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30378.0,Front-left,33.06,48.51,28.55,46.9,-7.77,-13.62,-0.32,0.74,3.67,3.44,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30379.0,Front-right,118.44,-76.06,113.93,-74.45,-20.97,3.34,-4.34,-0.21,5.43,22.31,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30380.0,Front-left,33.08,143.06,28.57,141.45,-7.77,-10.53,-0.6,1.67,3.68,13.43,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30381.0,Front-left,130.43,95.58,125.92,93.97,-14.49,-29.46,0.25,-5.07,8.69,3.19,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30368.0,Front-left,89.77,3.44,85.26,1.83,-22.1,0.06,1.19,0.35,3.86,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,30369.0,Front-left,110.07,3.31,105.56,1.7,-19.48,0.01,0.01,0.0,5.42,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,30370.0,Front-left,32.31,174.59,27.8,172.98,-7.77,-14.53,-0.1,0.23,3.58,11.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30371.0,Front-right,81.89,-38.57,77.38,-36.96,-15.52,-5.35,-3.82,-4.74,4.98,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,30372.0,Front,29.93,0.0,25.42,0.0,2.06,0.0,-2.01,-0.6,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,30373.0,Front-left,32.29,129.1,27.78,127.49,-7.76,-14.64,0.17,-0.68,3.58,8.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30374.0,Front,14.3,0.0,9.8,0.0,1.39,0.0,-2.22,-0.67,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,30376.0,Front-right,96.83,-75.84,92.32,-74.23,-20.98,-1.04,-5.44,-2.11,4.4,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,30377.0,Front-left,32.28,76.75,27.77,75.14,-7.76,-12.62,-0.08,0.15,3.58,5.95,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30378.0,Front-left,32.28,47.15,27.77,45.54,-7.76,-13.61,-0.08,0.15,3.58,3.35,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30379.0,Front-right,116.37,-75.78,111.86,-74.17,-20.61,2.78,-4.68,-0.37,5.43,26.66,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
