obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30529,1,5.1525,-350.5511,-1.0827,7.524,-2.6872,84
30530,1,46.0498,-385.5365,-2.633,7.8053,-4.0665,367
30532,1,20.0383,-378.5897,-1.0827,0.9792,1.0979,84
30533,1,-5.8061,-329.9096,-1.0827,8.4712,0.1582,84
30534,1,84.0115,-363.6645,-2.5843,16.0222,-3.8285,367
30535,1,-43.7795,-440.1503,0.5105,8.9383,-0.1394,461
30536,1,103.1438,-359.9583,2.6958,15.3331,-2.9125,367
30537,1,13.3301,-365.9544,-1.0827,5.039,-2.059,84
30538,1,5.2584,-412.6041,0.5174,7.4294,-2.3382,461
30539,1,22.8013,-402.6195,0.5145,1.5626,2.2025,461
30529,2,5.4999,-351.2055,-1.0827,7.3593,-1.9547,84
30530,2,45.3947,-385.9017,-2.633,7.3986,-4.0665,367
30532,2,20.0883,-378.6839,-1.0827,1.1007,1.3635,84
30533,2,-5.4112,-330.6534,-1.0827,8.4206,-0.0208,84
30534,2,82.684,-364.5172,-2.5706,15.6721,-4.4354,367
30535,2,-42.9986,-439.7129,0.5105,8.9406,-0.4306,461
30536,2,101.7492,-359.4324,2.7809,15.1342,-1.7005,367
30537,2,13.5585,-366.3844,-1.0827,4.8054,-2.5409,84
30538,2,5.8916,-412.2437,0.5174,7.2427,-1.7294,461
30539,2,22.9535,-402.5334,0.5148,1.8123,2.5614,461
30529,3,5.8371,-351.8406,-1.0827,7.1454,-1.8032,84
30530,3,44.7742,-386.2477,-2.633,7.0028,-4.0665,367
30532,3,20.1439,-378.7887,-1.0827,1.2104,0.9865,84
30533,3,-5.0138,-331.402,-1.0827,8.48,0.2025,84
30534,3,81.3914,-365.3612,-2.5631,15.358,-3.2158,367
30535,3,-42.2163,-439.2748,0.5105,8.961,-0.1766,461
30536,3,100.3405,-359.0455,2.8735,14.8382,-2.8204,367
30537,3,13.778,-366.798,-1.0827,4.6305,-2.0472,84
30538,3,6.507,-411.8934,0.5174,7.0402,-1.6302,461
30539,3,23.125,-402.4364,0.5147,2.0353,2.5641,461
30529,4,6.1668,-352.4617,-1.0827,7.0026,-1.1585,84
30530,4,44.1891,-386.5738,-2.633,6.5961,-4.0665,367
30532,4,20.2068,-378.9071,-1.0827,1.3727,1.2737,84
30533,4,-4.6188,-332.1459,-1.0827,8.4244,0.0512,84
30534,4,80.1282,-366.1942,-2.5586,15.0462,-3.4129,367
30535,4,-41.4348,-438.837,0.5105,8.9559,-0.0855,461
30536,4,98.9325,-358.8222,2.9842,14.6184,-2.0896,367
30537,4,13.9887,-367.1947,-1.0827,4.4592,-1.319,84
30538,4,7.1092,-411.5506,0.5175,6.8749,-2.1489,461
30539,4,23.3161,-402.3283,0.5146,2.2553,2.3858,461
30529,5,6.4881,-353.0669,-1.0827,6.8203,-1.2575,84
30530,5,43.6396,-386.8802,-2.633,6.1895,-4.0665,367
30532,5,20.2763,-379.0381,-1.0827,1.5157,1.3317,84
30533,5,-4.2222,-332.8929,-1.0827,8.443,-0.5564,84
30534,5,78.8982,-367.0103,-2.5558,14.6935,-2.7029,367
30535,5,-40.655,-438.4002,0.5105,8.936,-0.0277,461
30536,5,97.5311,-358.7519,3.0914,14.3745,-2.8376,367
30537,5,14.192,-367.5778,-1.0827,4.2883,-1.9456,84
30538,5,7.6965,-411.2163,0.5175,6.72,-1.502,461
30539,5,23.5238,-402.2109,0.5145,2.4244,1.538,461
