obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
0,1,6.0666,-25.2686,-1.2706,11.0602,2.1720,821
0,2,6.3993,-26.3437,-1.2706,11.2538,1.9361,821
0,3,6.7387,-27.4404,-1.2706,11.4795,2.2572,821
0,4,7.0846,-28.5580,-1.2706,11.6992,2.1963,821
0,5,7.4358,-29.6927,-1.2706,11.8777,1.7850,821
0,6,7.7944,-30.8516,-1.2706,12.1313,2.5362,821
0,7,8.1592,-32.0305,-1.2706,12.3400,2.0867,821
0,8,8.5287,-33.2243,-1.2706,12.4964,1.5644,821
0,9,8.9052,-34.4409,-1.2706,12.7354,2.3898,821
0,10,9.2882,-35.6783,-1.2706,12.9527,2.1725,821
0,11,9.6782,-36.9386,-1.2706,13.1923,2.3966,821
0,12,10.0745,-38.2191,-1.2706,13.4040,2.1164,821
0,13,10.4754,-39.5148,-1.2706,13.5627,1.5877,821
0,14,10.8804,-40.8233,-1.2706,13.6975,1.3472,821
0,15,11.2908,-42.1493,-1.2706,13.8805,1.8300,821
0,16,11.7085,-43.4991,-1.2706,14.1296,2.4910,821
0,17,12.1323,-44.8685,-1.2706,14.3343,2.0466,821
0,18,12.5602,-46.2512,-1.2706,14.4734,1.3913,821
0,19,12.9957,-47.6582,-1.2706,14.7286,2.5517,821
0,20,13.4370,-49.0844,-1.2706,14.9294,2.0078,821
0,21,13.8831,-50.5258,-1.2706,15.0882,1.5888,821
0,22,14.3351,-51.9864,-1.2706,15.2885,2.0027,821
0,23,14.7934,-53.4670,-1.2706,15.4991,2.1062,821
0,24,15.2581,-54.9689,-1.2706,15.7212,2.2205,821
0,25,15.7285,-56.4887,-1.2706,15.9088,1.8756,821
0,26,16.2062,-58.0322,-1.2706,16.1578,2.4905,821
0,27,16.6891,-59.5928,-1.2706,16.3357,1.7793,821
0,28,17.1762,-61.1665,-1.2706,16.4730,1.3720,821
0,29,17.6674,-62.7540,-1.2706,16.6171,1.4413,821
0,30,18.1630,-64.3553,-1.2706,16.7629,1.4578,821
0,31,18.6650,-65.9773,-1.2706,16.9781,2.1518,821
0,32,19.1720,-67.6153,-1.2706,17.1467,1.6859,821
0,33,19.6848,-69.2716,-1.2705,17.3381,1.9144,821
0,34,20.2027,-70.9445,-1.2704,17.5124,1.7428,821
0,35,20.7274,-72.6389,-1.2704,17.7375,2.2512,821
0,36,21.2574,-74.3506,-1.2704,17.9185,1.8099,821
0,37,21.7950,-76.0865,-1.2704,18.1722,2.5373,821
0,38,22.3377,-77.8386,-1.2704,18.3418,1.6958,821
0,39,22.8868,-79.6118,-1.2704,18.5629,2.2109,821
0,40,23.4430,-81.4079,-1.2704,18.8014,2.3846,821
0,41,24.0057,-83.2246,-1.2704,19.0182,2.1680,821
0,42,24.5753,-85.0641,-1.2704,19.2567,2.3849,821
0,43,25.1492,-86.9171,-1.2704,19.3978,1.4109,821
0,44,25.7296,-88.7914,-1.2704,19.6209,2.2307,821
0,45,26.3174,-90.6891,-1.2704,19.8669,2.4601,821
0,46,26.9123,-92.6103,-1.2704,20.1117,2.4478,821
0,47,27.5121,-94.5470,-1.2704,20.2734,1.6178,821
0,48,28.1163,-96.4980,-1.2704,20.4244,1.5094,821
0,49,28.7281,-98.4734,-1.2704,20.6798,2.5538,821
0,50,29.3471,-100.4722,-1.2704,20.9240,2.4421,821
0,51,29.9704,-102.4848,-1.2704,21.0682,1.4416,821
0,52,30.5994,-104.5158,-1.2704,21.2612,1.9303,821
0,53,31.2325,-106.5601,-1.2704,21.4010,1.3982,821
0,54,31.8711,-108.6221,-1.2704,21.5855,1.8443,821
0,55,32.5144,-110.6992,-1.2704,21.7449,1.5947,821
0,56,33.1637,-112.7960,-1.2704,21.9500,2.0505,821
0,57,33.8176,-114.9074,-1.2704,22.1027,1.5268,821
0,58,34.4777,-117.0388,-1.2704,22.3126,2.0989,821
0,59,35.1441,-119.1907,-1.2704,22.5265,2.1393,821
0,60,35.8165,-121.3620,-1.2704,22.7309,2.0434,821
0,61,36.4952,-123.5534,-1.2704,22.9395,2.0864,821
0,62,37.1782,-125.7590,-1.2704,23.0897,1.5019,821
1,1,109.1574,16.5105,0.1647,20.9408,1.5289,164
1,2,111.2432,16.8573,0.1647,21.1442,2.0339,164
1,3,113.3455,17.2067,0.1647,21.3121,1.6791,164
1,4,115.4701,17.5599,0.1647,21.5376,2.2547,164
1,5,117.6128,17.9161,0.1647,21.7203,1.8267,164
1,6,119.7705,18.2748,0.1647,21.8734,1.5309,164
1,7,121.9462,18.6198,0.1581,22.0314,1.5803,164
1,8,124.1364,18.9593,0.1484,22.1650,1.3357,164
1,9,126.3462,19.2913,0.1428,22.3464,1.8136,164
1,10,128.5711,19.6114,0.1428,22.4773,1.3096,164
1,11,130.8206,19.9349,0.1428,22.7275,2.5019,164
1,12,133.0940,20.2619,0.1428,22.9671,2.3957,164
1,13,135.3917,20.5716,0.1346,23.2041,2.3695,164
1,14,137.7127,20.7369,0.0673,23.4178,2.1372,164
1,15,140.0560,20.7921,-0.0411,23.5820,1.6419,164
1,16,142.4176,20.6008,-0.1305,23.7878,2.0583,164
1,17,144.7749,20.1944,-0.2152,24.0144,2.2662,164
1,18,147.1182,19.6126,-0.2817,24.2216,2.0716,164
1,19,149.4226,18.8451,-0.3490,24.3876,1.6597,164
1,20,151.6682,17.8808,-0.4459,24.6083,2.2076,164
1,21,153.8144,16.6906,-0.5643,24.7589,1.5053,164
1,22,155.8603,15.2734,-0.6675,24.9962,2.3733,164
1,23,157.8047,13.6698,-0.7311,25.2462,2.4998,164
1,24,159.6826,11.9481,-0.7646,25.4900,2.4385,164
1,25,161.4968,10.1353,-0.7958,25.6620,1.7198,164
1,26,163.3013,8.2905,-0.8153,25.8064,1.4433,164
1,27,165.0936,6.4010,-0.8116,26.0482,2.4187,164
1,28,166.9423,4.5429,-0.7828,26.2278,1.7954,164
1,29,168.8186,2.6806,-0.7605,26.4364,2.0858,164
1,30,170.7484,0.8445,-0.7605,26.6373,2.0092,164
1,31,172.6883,-1.0011,-0.7605,26.7768,1.3951,164
1,32,174.6453,-2.8630,-0.7605,27.0123,2.3546,164
1,33,176.6272,-4.7281,-0.7545,27.2175,2.0524,164
1,34,178.6341,-6.5947,-0.7421,27.4089,1.9138,164
1,35,180.6721,-8.4621,-0.7378,27.6419,2.3298,164
1,36,182.7302,-10.3331,-0.7378,27.8147,1.7279,164
1,37,184.8026,-12.2172,-0.7378,28.0081,1.9343,164
1,38,186.8936,-14.1183,-0.7378,28.2605,2.5242,164
1,39,188.9987,-16.0321,-0.7378,28.4501,1.8952,164
1,40,191.1173,-17.9581,-0.7378,28.6321,1.8198,164
1,41,193.2497,-19.8968,-0.7378,28.8192,1.8715,164
1,42,195.3951,-21.8473,-0.7378,28.9955,1.7629,164
3,1,24.3423,-84.3116,-1.2704,20.6361,2.0262,821
3,2,24.9601,-86.3066,-1.2704,20.8845,2.4842,821
3,3,25.5842,-88.3217,-1.2704,21.0947,2.1016,821
3,4,26.2143,-90.3565,-1.2704,21.3004,2.0565,821
3,5,26.8492,-92.4065,-1.2704,21.4609,1.6055,821
3,6,27.4897,-94.4745,-1.2704,21.6484,1.8753,821
3,7,28.1352,-96.5589,-1.2704,21.8208,1.7237,821
3,8,28.7874,-98.6650,-1.2704,22.0473,2.2646,821
3,9,29.4446,-100.7870,-1.2704,22.2143,1.6698,821
3,10,30.1072,-102.9265,-1.2704,22.3965,1.8224,821
3,11,30.7764,-105.0874,-1.2704,22.6216,2.2514,821
3,12,31.4505,-107.2641,-1.2704,22.7862,1.6454,821
3,13,32.1322,-109.4654,-1.2704,23.0441,2.5795,821
3,14,32.8186,-111.6815,-1.2704,23.1996,1.5548,821
3,15,33.5118,-113.9201,-1.2704,23.4342,2.3453,821
3,16,34.2102,-116.1752,-1.2704,23.6078,1.7361,821
3,17,34.9154,-118.4524,-1.2704,23.8379,2.3008,821
3,18,35.6264,-120.7479,-1.2704,24.0311,1.9323,821
3,19,36.3414,-123.0569,-1.2704,24.1707,1.3965,821
3,20,37.0614,-125.3818,-1.2704,24.3387,1.6794,821
5,1,63.9292,9.0371,0.1635,16.1392,1.6473,164
5,2,65.5386,9.3027,0.1635,16.3114,1.7216,164
5,3,67.1669,9.5713,0.1635,16.5029,1.9148,164
5,4,68.8135,9.8430,0.1635,16.6892,1.8629,164
5,5,70.4765,10.1174,0.1635,16.8552,1.6601,164
5,6,72.1565,10.3945,0.1635,17.0265,1.7126,164
5,7,73.8519,10.6743,0.1635,17.1831,1.5660,164
5,8,75.5714,10.9580,0.1635,17.4284,2.4533,164
5,9,77.3141,11.2455,0.1635,17.6625,2.3410,164
5,10,79.0732,11.5357,0.1635,17.8287,1.6622,164
5,11,80.8529,11.8293,0.1635,18.0375,2.0879,164
5,12,82.6539,12.1265,0.1635,18.2534,2.1590,164
5,13,84.4786,12.4275,0.1635,18.4935,2.4005,164
5,14,86.3276,12.7326,0.1635,18.7404,2.4692,164
5,15,88.1971,13.0411,0.1635,18.9475,2.0705,164
5,16,90.0847,13.3525,0.1635,19.1317,1.8422,164
5,17,91.9885,13.6666,0.1635,19.2954,1.6370,164
5,18,93.9068,13.9831,0.1635,19.4423,1.4685,164
5,19,95.8384,14.3018,0.1635,19.5766,1.3435,164
5,20,97.7897,14.6238,0.1635,19.7774,2.0077,164
5,21,99.7614,14.9504,0.1640,19.9853,2.0794,164
5,22,101.7549,15.2805,0.1645,20.2065,2.2113,164
5,23,103.7633,15.6139,0.1647,20.3588,1.5231,164
5,24,105.7856,15.9501,0.1647,20.5005,1.4172,164
5,25,107.8237,16.2888,0.1647,20.6609,1.6040,164
5,26,109.8866,16.6318,0.1647,20.9120,2.5111,164
5,27,111.9673,16.9776,0.1647,21.0932,1.8121,164
5,28,114.0617,17.3258,0.1647,21.2311,1.3790,164
5,29,116.1804,17.6780,0.1647,21.4779,2.4672,164
5,30,118.3122,18.0323,0.1647,21.6108,1.3291,164
5,31,120.4651,18.3902,0.1647,21.8244,2.1363,164
5,32,122.6388,18.7272,0.1550,21.9994,1.7495,164
5,33,124.8368,19.0679,0.1453,22.2434,2.4403,164
5,34,127.0510,19.3927,0.1428,22.3784,1.3502,164
5,35,129.2834,19.7138,0.1428,22.5538,1.7534,164
5,36,131.5295,20.0369,0.1428,22.6920,1.3823,164
5,37,133.7896,20.3620,0.1428,22.8339,1.4185,164
5,38,136.0727,20.6347,0.1207,23.0371,2.0318,164
5,39,138.3687,20.7586,0.0381,23.1757,1.3867,164
5,40,140.6881,20.7501,-0.0688,23.3439,1.6819,164
5,41,143.0224,20.5030,-0.1509,23.5692,2.2527,164
5,42,145.3554,20.0648,-0.2259,23.8058,2.3663,164
5,43,147.6647,19.4512,-0.2985,23.9806,1.7477,164
5,44,149.9275,18.6492,-0.3721,24.1272,1.4664,164
5,45,152.1199,17.6484,-0.4695,24.2804,1.5313,164
5,46,154.2087,16.4253,-0.5866,24.4296,1.4921,164
5,47,156.2082,15.0091,-0.6779,24.5716,1.4197,164
5,48,158.0934,13.4069,-0.7357,24.7833,2.1173,164
5,49,159.9268,11.7150,-0.7718,24.9619,1.7859,164
5,50,161.6972,9.9325,-0.7985,25.1341,1.7216,164
5,51,163.4671,8.1145,-0.8153,25.3729,2.3883,164
5,52,165.2332,6.2607,-0.8094,25.6107,2.3781,164
5,53,167.0542,4.4304,-0.7811,25.8341,2.2338,164
