timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,0.0,Front-right,55.08,-24.45,50.57,-22.84,-10.11,-11.06,2.54,-1.52,5.0,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,1.0,Front-right,165.73,-13.09,161.23,-11.48,10.49,-2.47,3.4,0.8,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,3.0,Front-right,56.16,-86.25,51.65,-84.64,-9.94,-20.63,2.49,-1.39,5.2,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,5.0,Front-right,120.22,-7.65,115.71,-6.04,5.72,-1.92,3.52,0.82,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,6.0,Front-right,58.31,-9.32,53.81,-7.71,-10.3,0.0,1.91,0.5,5.22,77093.74,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,7.0,Front,72.79,1.55,68.28,0.0,-17.33,0.84,6.33,1.28,3.94,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,8.0,Front-right,53.33,-3.01,48.82,-1.4,-6.53,-6.21,2.22,0.25,7.47,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,9.0,Front-right,58.55,-22.5,54.04,-20.89,-10.38,4.23,2.7,-2.04,5.21,4.94,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,10.0,Front,39.09,0.01,34.58,0.0,-2.7,0.0,-2.43,-0.71,12.82,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,11.0,Front-right,58.86,-40.57,54.36,-38.96,-10.43,7.27,2.63,-1.81,5.21,5.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,12.0,Front,23.13,0.0,18.62,0.0,-2.11,0.0,-0.72,-0.21,8.84,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
