timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,20026.0,Front,172.83,0.01,168.32,0.0,-10.12,0.0,1.4,1.38,16.64,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20027.0,Front,179.81,0.01,175.3,0.0,-10.12,0.0,1.4,1.38,17.33,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20028.0,Front,55.22,0.0,50.71,0.0,-10.12,-0.0,1.4,1.38,5.01,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20029.0,Front-right,67.01,-11.4,62.5,-9.79,-10.12,0.0,1.4,1.38,6.18,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20030.0,Front-right,66.96,-18.38,62.45,-16.77,-10.12,0.0,1.4,1.38,6.17,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20031.0,Front-right,66.91,-25.36,62.4,-23.75,-10.12,0.0,1.4,1.38,6.17,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20032.0,Front,48.24,0.0,43.73,0.0,-10.12,-0.0,1.4,1.38,4.32,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20033.0,Front-right,66.81,-38.19,62.31,-36.58,-10.12,0.0,1.4,1.38,6.16,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20034.0,Front-right,66.75,-47.13,62.24,-45.52,-10.12,0.0,1.4,1.38,6.15,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20035.0,Front-right,66.7,-54.11,62.19,-52.5,-10.12,0.0,1.4,1.38,6.15,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20036.0,Front,37.6,0.0,33.09,0.0,-6.95,-0.0,0.18,0.17,4.76,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20037.0,Front,24.6,0.0,20.09,0.0,-4.39,-0.0,-0.11,-0.11,4.58,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20039.0,Behind,-19.72,-0.0,-15.22,0.0,0.77,-0.0,1.22,1.21,19.84,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,20026.0,Front,171.8,0.03,167.29,0.0,-9.67,0.0,1.77,1.74,17.3,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,20027.0,Front,178.78,0.03,174.27,0.0,-9.67,0.0,1.77,1.74,18.03,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,20028.0,Front,54.19,0.01,49.68,0.0,-9.67,0.0,1.77,1.74,5.14,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,20029.0,Front-right,65.98,-11.39,61.47,-9.78,-9.67,0.0,1.77,1.74,6.36,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20030.0,Front-right,65.93,-18.37,61.42,-16.76,-9.67,0.0,1.77,1.74,6.35,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20031.0,Front-right,65.88,-25.35,61.37,-23.74,-9.67,0.0,1.77,1.74,6.35,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20032.0,Front,47.21,0.01,42.7,0.0,-9.67,0.0,1.77,1.74,4.42,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,20033.0,Front-right,65.79,-38.19,61.28,-36.58,-9.67,0.0,1.77,1.74,6.34,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
