obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
20039,1,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,1,-3.7606,0.3382,-2.9748,1.7612,-1.4171,4974
20045,1,9.4762,1.2075,3.0438,0.1712,-0.396,802
20047,1,16.7169,2.9395,-2.294,0.0013,-0.205,5072
20048,1,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,1,-43.1014,-33.2673,-1.9065,13.7073,-0.0031,804
20039,2,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,2,-4.1208,0.2639,-2.8987,1.7612,-1.4171,4974
20045,2,9.3533,1.2196,3.0438,0.1316,-0.396,802
20047,2,16.7095,2.9312,-2.294,0.0,0.0,5072
20048,2,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,2,-43.553,-34.5613,-1.9065,13.7071,-0.0025,804
20039,3,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,3,-4.4902,0.1724,-2.8987,1.6447,-1.1652,4974
20045,3,9.2209,1.2326,3.0438,0.092,-0.396,802
20047,3,16.6996,2.92,-2.294,0.0,0.0,5072
20048,3,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,3,-43.9658,-35.8669,-1.8214,13.7068,-0.0025,804
20039,4,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,4,-4.8716,0.078,-2.8987,1.6447,-1.1652,4974
20045,4,9.0791,1.2465,3.0438,0.0524,-0.396,802
20047,4,16.6871,2.9058,-2.294,0.0,0.0,5072
20048,4,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,4,-44.3057,-37.1946,-1.8214,13.7066,-0.0025,804
20039,5,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,5,-5.2651,-0.0194,-2.8987,1.5282,-1.1652,4974
20045,5,8.9278,1.2613,3.0438,0.0298,-0.2253,802
20047,5,16.6721,2.8888,-2.294,0.0,0.0,5072
20048,5,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,5,-44.6457,-38.5222,-1.8214,13.7063,-0.0025,804
20039,6,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,6,-5.6707,-0.1198,-2.8987,1.5282,-1.1652,4974
20045,6,8.7671,1.2771,3.0438,0.0073,-0.2253,802
20047,6,16.6544,2.8688,-2.294,0.0,0.0,5072
20048,6,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,6,-44.9814,-39.8507,-1.7401,13.7061,-0.0025,804
20039,7,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,7,-6.0883,-0.2233,-2.8987,1.4117,-1.1652,4974
20045,7,8.5967,1.2938,3.0438,0.0,0.0,802
20047,7,16.6336,2.8452,-2.294,0.0,0.0,5072
20048,7,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,7,-45.2124,-41.2015,-1.7401,13.7058,-0.002,804
20039,8,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,8,-6.5179,-0.3297,-2.8987,1.4117,-1.1652,4974
20045,8,8.4161,1.3115,3.0438,0.0,0.0,802
20047,8,16.6091,2.8175,-2.294,0.0,0.0,5072
20048,8,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,8,-45.4434,-42.5523,-1.7401,13.7056,-0.002,804
20039,9,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,9,-6.9595,-0.4391,-2.8987,1.2951,-1.1652,4974
20045,9,8.2255,1.3302,3.0438,0.0,0.0,802
20047,9,16.581,2.7856,-2.294,0.0,0.0,5072
20048,9,19.6301,-0.6508,2.874,0.0,0.0,4973
20050,9,-45.6744,-43.9031,-1.7401,13.7054,-0.002,804
20039,10,-64.7112,31.5258,2.8515,0.0,0.0,117
20044,10,-7.4131,-0.5514,-2.8987,1.2951,-1.1652,4974
20045,10,8.0248,1.3499,3.0438,0.0,0.0,802
