timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,38.0,Front,46.02,-1.43,41.51,0.0,2.43,0.08,0.31,1.02,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,39.0,Front-right,26.39,-6.94,21.88,-5.33,-5.31,4.64,-1.61,-0.13,4.12,1.15,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,320.0,Front-right,28.12,-19.31,23.61,-17.7,-3.38,0.18,-0.14,0.05,6.99,95.78,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,352.0,Front,13.27,-0.44,8.77,0.0,2.89,-0.84,0.83,1.73,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,358.0,Behind,-9.79,-0.0,-5.28,0.0,-1.7,0.0,0.33,1.02,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,363.0,Behind,-22.33,-0.0,-17.83,0.0,-2.45,0.0,0.42,1.29,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,38.0,Front,46.27,-1.4,41.76,0.0,2.61,0.06,0.52,1.67,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,39.0,Front-right,25.84,-6.46,21.33,-4.85,-5.62,4.71,-1.85,-0.24,3.8,1.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,320.0,Front-right,27.79,-19.28,23.28,-17.67,-3.38,0.2,-0.19,0.06,6.9,86.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,352.0,Front,13.58,-0.53,9.07,0.0,3.12,-0.98,0.32,0.64,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,358.0,Behind,-9.95,-0.01,-5.44,0.0,-1.56,0.0,0.46,1.44,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,363.0,Behind,-22.57,-0.01,-18.06,0.0,-2.27,0.0,0.56,1.74,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,38.0,Front,46.54,-1.37,42.03,0.0,2.81,0.04,0.51,1.6,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,39.0,Front-right,25.27,-5.98,20.76,-4.37,-5.72,4.85,-1.82,-0.06,3.63,0.9,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,320.0,Front-right,27.46,-19.24,22.95,-17.63,-3.35,0.22,-0.12,0.27,6.84,78.47,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,352.0,Front,13.9,-0.63,9.39,0.0,3.02,-1.1,-1.1,-2.02,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,358.0,Behind,-10.1,-0.01,-5.59,0.0,-1.38,0.0,0.51,1.58,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,363.0,Behind,-22.79,-0.03,-18.28,0.0,-2.06,0.0,0.65,2.02,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
4.0,38.0,Front,46.82,-1.36,42.32,0.0,2.98,0.03,0.49,1.54,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
