obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
31,1,197.62438,-616.97011,-4.6484944,0.94488347,0.3247594,6947
35,1,184.9383,-581.46339,-1.3033518,1.1662388,0.1723615,6586
36,1,186.52788,-579.22581,-1.2995227,2.1593812,0.194891,4511
310,1,190.25061,-596.12236,-1.3124863,0.32064366,0.3718333,6586
315,1,185.94519,-585.50473,-1.3092179,0.90550361,0.2902892,6586
317,1,223.62624,-589.66961,-2.9277189,3.0876774,1.2720415,3399
320,1,238.24783,-586.50061,-2.9279925,1.3002894,0.800575,3399
324,1,254.35194,-583.00751,-2.9280547,0.63359574,0.38452165,3399
355,1,185.13809,-603.91967,-0.1071088,8.181223,-0.305779,7264
357,1,164.59704,-611.14017,-5.8014843,6.4332554,1.8022695,4059
31,2,197.6182,-616.87365,-4.6484943,0.98818472,0.43301265,6947
35,2,184.96943,-581.57698,-1.3033513,1.1892203,0.2298155,6586
36,2,186.58585,-579.43518,-1.3007098,2.1853247,0.2588005,4511
310,2,190.2587,-596.15595,-1.3125611,0.37022143,0.49577765,6586
315,2,185.9691,-585.59407,-1.3108831,0.94420314,0.3872187,6586
317,2,223.31837,-589.73648,-2.9277492,3.2792963,2.1277795,3399
320,2,238.11591,-586.52923,-2.9280194,1.410838,1.2313615,3399
324,2,254.28764,-583.02145,-2.928031,0.68613419,0.55583625,3399
355,2,185.9494,-604.00186,-0.200219,8.146617,-0.591834,7264
357,2,165.17809,-610.8371,-5.8015569,6.6735283,2.4025915,4059
31,3,197.61176,-616.77287,-4.6484941,1.031486,0.4330124,6947
35,3,185.00116,-581.69278,-1.3033507,1.2122019,0.2298155,6586
36,3,186.6445,-579.64703,-1.3007214,2.2111413,0.2581595,4511
310,3,190.26795,-596.19435,-1.3126466,0.41979919,0.49577765,6586
315,3,185.99371,-585.68723,-1.3125564,0.98294735,0.3878843,6586
317,3,222.98532,-589.80879,-2.9277791,3.5132333,2.2275685,3399
320,3,237.97208,-586.56042,-2.9280316,1.5465617,1.4409445,3399
324,3,254.21783,-583.03659,-2.9279884,0.74476299,0.6194803,3399
355,3,186.72703,-604.24197,-0.3062396,8.0628562,-0.4097405,7264
357,3,165.77991,-610.52189,-5.8013451,6.9137737,2.402034,4059
31,4,197.60503,-616.66777,-4.648494,1.0747872,0.4330125,6947
35,4,185.03349,-581.8108,-1.3033502,1.2351834,0.2298155,6586
36,4,186.70384,-579.86137,-1.3007219,2.2369566,0.258153,4511
310,4,190.27835,-596.23757,-1.3127428,0.46937696,0.4957777,6586
315,4,186.01931,-585.78414,-1.3125574,1.02178,0.38808525,6586
317,4,222.63172,-589.88557,-2.927815,3.72481,1.942818,3399
320,4,237.81363,-586.59478,-2.928013,1.6990269,1.491407,3399
324,4,254.14207,-583.05302,-2.9280307,0.81003025,0.70744755,3399
355,4,187.48694,-604.4879,-0.395875,8.0646689,0.075307,7264
357,4,166.40342,-610.19633,-5.800127,7.1539351,2.400681,4059
31,5,197.59803,-616.55835,-4.6484938,1.1180885,0.4330545,6947
35,5,185.06644,-581.93103,-1.3033496,1.258165,0.2298155,6586
36,5,186.76386,-580.07821,-1.3007224,2.2627719,0.258153,4511
310,5,190.28992,-596.28562,-1.3128498,0.51895473,0.4957777,6586
315,5,186.0459,-585.88481,-1.3125423,1.0605644,0.3878445,6586
317,5,222.25731,-589.96684,-2.9278744,3.9017969,1.671164,3399
320,5,237.63999,-586.63245,-2.9279887,1.8448431,1.501848,3399
324,5,254.0595,-583.07093,-2.9280326,0.8862525,0.81336495,3399
355,5,188.20962,-604.86299,-0.5268631,8.0779176,-0.163366,7264
357,5,167.04696,-609.85726,-5.798301,7.3939099,2.3994595,4059
31,6,197.59075,-616.44461,-4.6364567,1.1613981,0.4331115,6947
35,6,185.09999,-582.05349,-1.3033491,1.2811465,0.2298155,6586
36,6,186.82458,-580.29752,-1.3007229,2.2885872,0.258342,6586
310,6,190.30265,-596.33848,-1.3345069,0.5685325,0.4957777,6586
315,6,186.07348,-585.98922,-1.312531,1.0993489,0.388326,6586
317,6,221.86912,-590.05108,-2.9279073,4.0590428,1.528366,3399
320,6,237.45305,-586.673,-2.927996,1.9993965,1.435304,3399
324,6,253.96885,-583.09059,-2.9280521,0.97270324,0.9075135,3399
355,6,188.88213,-605.29878,-0.6050162,8.0319957,0.339364,7264
357,6,167.71174,-609.50706,-5.8012469,7.633827,-0.0574085,4059
31,7,197.58036,-616.32676,-4.6242419,1.2047108,0.4330875,6947
35,7,185.13415,-582.17816,-1.3033485,1.3041281,0.2298155,6586
36,7,186.88598,-580.51933,-1.3011233,2.3144403,0.258983,6586
310,7,190.31654,-596.39616,-1.3345069,0.61811027,0.4957777,6586
315,7,186.10206,-586.09738,-1.3125409,1.1382296,0.3885,6586
317,7,221.46397,-590.13899,-2.9276702,4.2074701,1.4769235,3399
320,7,237.2492,-586.71721,-2.9279914,2.1319039,1.352191,3399
324,7,253.86938,-583.11215,-2.9280452,1.0677552,0.9866118,3399
355,7,189.53021,-605.77635,-0.7213752,8.1457904,1.2465435,7264
357,7,168.39985,-609.14967,-5.8161919,7.3824282,-0.501691,4059
31,8,197.56954,-616.20461,-4.6240641,1.2480156,0.4330345,6947
35,8,185.16892,-582.30504,-1.3033479,1.3271096,0.2298155,6586
36,8,186.9479,-580.74368,-1.3024359,2.3403838,0.2592535,6586
310,8,190.33159,-596.45867,-1.334507,0.66768804,0.4957777,6586
315,8,186.13162,-586.20931,-1.3125823,1.1770489,0.3880855,6586
317,8,221.04681,-590.22973,-2.9273967,4.3544275,1.7215715,3399
320,8,237.03636,-586.76338,-2.927987,2.2698347,1.3810715,3399
324,8,253.76015,-583.13584,-2.9280189,1.1700256,1.031923,3399
355,8,190.09982,-606.37194,-0.8002598,8.2813044,1.025529,7264
357,8,169.02964,-608.84159,-5.8262836,7.5334888,3.805938,4059
31,9,197.55834,-616.07813,-4.6240638,1.2913177,0.4330205,6947
35,9,185.2043,-582.43414,-1.3033473,1.3500912,0.2297375,6586
36,9,187.01009,-580.97065,-1.3033486,2.366291,0.2586265,6586
310,9,190.3478,-596.52599,-1.334507,0.71726581,0.4957777,6586
315,9,186.16217,-586.32499,-1.3125302,1.2158467,0.388152,6586
317,9,220.61299,-590.32411,-2.9273889,4.5517844,2.113952,3399
320,9,236.80555,-586.81345,-2.9279938,2.4081182,1.414072,3399
324,9,253.64069,-583.16175,-2.9279914,1.2741398,1.02623,3399
355,9,190.68384,-606.9647,-0.8810187,8.3508962,0.733927,7264
357,9,169.7519,-608.48478,-5.8196999,8.1436158,4.055784,4059
31,10,197.54676,-615.94735,-4.6240635,1.3346197,0.4330205,6947
35,10,185.24028,-582.56546,-1.3035095,1.3730571,0.2290655,6586
36,10,187.07297,-581.20012,-1.3033492,2.3921091,0.258181,6586
310,10,190.36517,-596.59814,-1.334507,0.76684358,0.4957777,6586
315,10,186.19372,-586.44442,-1.3125286,1.2546793,0.3880185,6586
317,10,220.15725,-590.42324,-2.9273572,4.7772179,2.086291,3399
320,10,236.56568,-586.86547,-2.92799,2.5526491,1.741287,3399
324,10,253.51111,-583.18986,-2.9280146,1.3752716,1.030054,3399
355,10,191.15813,-607.65562,-0.9840338,8.4280898,0.866314,6586
357,10,170.48648,-608.11337,-5.8084042,8.3446456,2.0209745,4059
31,11,197.5348,-615.81225,-4.6240632,1.3779218,0.4330205,6947
35,11,185.27683,-582.699,-1.3049144,1.3959043,0.228539,6586
36,11,187.13653,-581.43207,-1.3033498,2.4179272,0.258181,6586
310,11,190.38371,-596.6751,-1.3345071,0.81642135,0.49579385,6586
315,11,186.22626,-586.5676,-1.3125558,1.2934504,0.3880185,6586
317,11,219.67938,-590.52724,-2.927274,4.9690426,1.71848,3399
320,11,236.30662,-586.92167,-2.9279852,2.7563756,1.936202,3399
324,11,253.37189,-583.22005,-2.9280028,1.4801506,1.1984465,3399
355,11,191.6169,-608.3683,-1.0393363,8.524159,1.0545515,6586
