timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30.0,Front-left,32.91,2.48,28.41,0.87,3.84,-3.59,1.56,-2.06,inf,0.24,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,36.0,Front-left,50.9,3.46,46.39,1.85,-3.87,0.0,1.01,-0.96,11.99,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,37.0,Front-left,23.08,30.86,18.57,29.25,-3.73,-0.0,1.2,-1.14,4.98,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,39.0,Front-left,64.24,3.32,59.73,1.71,-5.7,0.02,1.19,-1.13,10.49,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,312.0,Front-left,23.19,23.74,18.69,22.13,-3.73,-0.0,1.2,-1.14,5.02,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,330.0,Front-left,44.74,3.52,40.23,1.91,-4.33,0.01,1.01,-0.95,9.3,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,344.0,Behind,-12.37,0.05,-7.87,0.0,0.45,-0.31,2.13,-2.16,17.31,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,355.0,Front-right,18.72,-5.32,14.22,-3.71,-2.22,-1.9,1.08,-2.55,6.41,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,359.0,Front,5.86,-0.02,1.36,0.0,0.02,-0.11,2.12,-2.06,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,363.0,Rear-left,-39.57,2.23,-35.06,0.62,-1.87,-0.19,1.22,-1.16,inf,3.32,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30.0,Front-left,33.3,2.15,28.79,0.54,4.46,-3.36,2.05,-2.56,inf,0.16,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,36.0,Front-left,50.49,3.48,45.99,1.87,-3.52,0.0,1.35,-1.28,13.08,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,37.0,Front-left,22.68,30.86,18.17,29.25,-3.34,-0.0,1.6,-1.52,5.45,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,39.0,Front-left,63.66,3.34,59.15,1.73,-5.31,0.02,1.59,-1.51,11.14,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,312.0,Front-left,22.8,23.75,18.29,22.14,-3.34,-0.0,1.6,-1.52,5.48,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,330.0,Front-left,44.29,3.54,39.78,1.93,-3.97,0.01,1.34,-1.27,10.01,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,344.0,Behind,-12.33,0.0,-7.82,0.0,1.02,-0.23,2.81,-2.79,7.7,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,355.0,Front-right,18.5,-5.51,13.99,-3.9,-1.84,-2.14,1.33,-3.3,7.6,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,359.0,Front,5.86,-0.03,1.35,0.0,0.56,-0.12,2.7,-2.62,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,363.0,Rear-left,-39.77,2.2,-35.26,0.59,-1.45,-0.19,2.07,-2.06,inf,3.16,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30.0,Front-left,33.73,1.85,29.22,0.24,4.88,-3.11,1.19,-1.7,inf,0.08,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,36.0,Front-left,50.12,3.52,45.61,1.91,-3.35,0.0,0.44,-0.41,13.63,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,37.0,Front-left,22.3,30.88,17.79,29.27,-3.13,-0.0,0.69,-0.66,5.68,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,39.0,Front-left,63.1,3.39,58.6,1.78,-5.1,0.02,0.68,-0.65,11.48,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,312.0,Front-left,22.43,23.76,17.92,22.15,-3.13,-0.0,0.69,-0.66,5.72,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,330.0,Front-left,43.87,3.58,39.36,1.97,-3.8,0.01,0.43,-0.4,10.35,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,344.0,Behind,-12.24,-0.01,-7.74,0.0,1.41,-0.19,1.98,-1.99,5.49,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,355.0,Front-right,18.29,-5.72,13.78,-4.11,-1.68,-2.37,0.34,-2.28,8.21,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,359.0,Front,5.9,-0.04,1.4,0.0,0.92,-0.12,1.87,-1.84,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,363.0,Rear-left,-39.93,2.15,-35.42,0.54,-1.13,-0.19,1.37,-1.44,inf,2.82,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,30.0,Front,34.25,-0.25,29.75,0.0,5.14,-3.24,1.18,-1.62,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
4.0,36.0,Front,49.89,0.9,45.38,0.0,-3.21,0.02,0.35,-0.27,14.16,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,37.0,Front-left,23.56,29.68,19.05,28.07,-2.96,-0.0,0.6,-0.51,6.44,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
4.0,39.0,Front,62.67,0.11,58.17,0.0,-4.93,0.12,0.59,-0.5,11.81,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,312.0,Front-left,23.31,22.56,18.8,20.95,-2.96,-0.0,0.6,-0.51,6.36,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
4.0,330.0,Front,43.6,1.29,39.1,0.0,-3.66,0.04,0.34,-0.26,10.67,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,344.0,Behind,-12.09,0.57,-7.58,0.0,1.74,-0.56,1.76,-1.78,4.35,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,355.0,Front-right,17.78,-6.92,13.27,-5.31,-1.56,-2.59,0.26,-2.07,8.51,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
4.0,359.0,Front,5.98,-0.38,1.48,0.0,1.25,-0.46,1.88,-1.87,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
4.0,363.0,Rear-left,-39.89,4.2,-35.38,2.59,-0.88,-0.31,1.18,-1.17,inf,8.4,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,30.0,Front-right,34.43,-4.89,29.92,-3.28,5.07,-4.02,1.18,-1.52,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
5.0,36.0,Front-right,49.28,-5.26,44.77,-3.65,-3.1,0.05,0.25,-0.09,14.46,69.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
5.0,37.0,Front-left,26.73,26.54,22.22,24.93,-2.82,-0.0,0.51,-0.33,7.89,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
5.0,39.0,Front-right,61.71,-7.59,57.2,-5.98,-4.76,0.36,0.49,-0.32,12.02,16.4,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
