obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
3332,1,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,1,483.5102,385.8806,1.2569,6.4361,-6.2786,464
3335,1,487.8099,387.7936,1.2576,0.4146,-5.9357,465
3336,1,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,1,473.6131,355.2619,1.2585,12.8561,-3.8029,461
3338,1,476.0053,351.2798,1.2585,13.7724,-4.538,462
3340,1,469.7406,343.2666,1.2585,10.4814,-3.2638,461
3332,2,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,2,483.6943,386.4478,1.2569,5.8082,-6.2786,464
3335,2,487.8118,387.7994,1.2576,0.0009,-2.3995,465
3336,2,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,2,473.9995,356.4585,1.2585,12.4744,-3.9691,461
3338,2,476.4197,352.5637,1.2585,13.3983,-3.6957,462
3340,2,470.0578,344.2493,1.2585,10.2865,-1.5871,461
3332,3,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,3,483.859,386.9554,1.257,5.1803,-6.2786,464
3335,3,487.8118,387.7994,1.2576,0.0,-0.0002,465
3336,3,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,3,474.3723,357.6132,1.2585,12.0385,-3.8037,461
3338,3,476.8222,353.8106,1.2585,12.9843,-4.7148,462
3340,3,470.3674,345.2082,1.2585,10.0001,-3.036,461
3332,4,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,4,484.0043,387.4032,1.257,4.5525,-6.2786,464
3335,4,487.8118,387.7994,1.2576,0.0,0.0,465
3336,4,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,4,474.7331,358.731,1.2585,11.6668,-3.1461,461
3338,4,477.2126,355.0203,1.2585,12.6106,-3.997,462
3340,4,470.6689,346.1423,1.2585,9.7589,-2.2633,461
3332,5,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,5,484.1302,387.7914,1.2571,3.9246,-6.2786,464
3335,5,487.8118,387.7994,1.2576,0.0,0.0,465
3336,5,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,5,475.0827,359.8137,1.2585,11.2693,-4.3182,461
3338,5,477.5923,356.1966,1.2585,12.2739,-3.4641,462
3340,5,470.9637,347.0554,1.2585,9.5379,-2.2668,461
3332,6,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,6,484.2368,388.1201,1.2571,3.2993,-6.2786,464
3335,6,487.8118,387.7994,1.2576,0.0,0.0,465
3336,6,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,6,475.4198,360.858,1.2585,10.8781,-3.7897,461
3338,6,477.9602,357.3363,1.2585,11.8872,-3.5469,462
3340,6,471.2512,347.9458,1.2585,9.2973,-2.3554,461
3332,7,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,7,484.324,388.3891,1.2571,2.6714,-6.2786,464
3335,7,487.8118,387.7994,1.2576,0.0,0.0,465
3336,7,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,7,475.7457,361.8674,1.2585,10.4994,-4.2928,461
3338,7,478.3169,358.4415,1.2585,11.5255,-3.498,462
3340,7,471.5315,348.8142,1.2585,9.0913,-1.3539,461
3332,8,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,8,484.3919,388.5983,1.2571,2.0436,-6.2786,464
3335,8,487.8118,387.7994,1.2576,0.0,0.0,465
3336,8,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,8,476.0599,362.8405,1.2585,10.1487,-3.0906,461
3338,8,478.6632,359.5146,1.2585,11.1851,-3.6012,462
3340,8,471.8053,349.6623,1.2585,8.8537,-2.2951,461
3332,9,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,9,484.4404,388.7479,1.2571,1.4157,-6.2786,464
3335,9,487.8118,387.7994,1.2576,0.0,0.0,465
3336,9,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,9,476.3629,363.779,1.2585,9.7832,-3.1403,461
3338,9,478.9978,360.5513,1.2585,10.8135,-3.2015,462
3340,9,472.072,350.4884,1.2585,8.6298,-2.035,461
3332,10,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,10,484.4697,388.838,1.2571,0.7934,-6.1668,464
3335,10,487.8118,387.7994,1.2576,0.0,0.0,465
3336,10,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,10,476.6554,364.6851,1.2585,9.4371,-3.3296,461
3338,10,479.3212,361.553,1.2585,10.4376,-3.5272,462
3340,10,472.3331,351.2972,1.2585,8.4434,-2.2221,461
3332,11,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,11,484.48,388.8697,1.2571,0.1827,-6.0234,464
3335,11,487.8118,387.7994,1.2576,0.0,0.0,465
3336,11,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,11,476.9377,365.5594,1.2585,9.1127,-3.0055,461
3338,11,479.6341,362.5225,1.2585,10.0957,-3.6513,462
3340,11,472.587,352.0835,1.2585,8.2105,-2.0788,461
3332,12,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,12,484.4801,388.8699,1.2571,0.0,-0.0929,464
3335,12,487.8118,387.7994,1.2576,0.0,0.0,465
3336,12,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,12,477.2112,366.4066,1.2585,8.8284,-2.9554,461
3338,12,479.9361,363.4583,1.2585,9.7494,-3.3609,462
3340,12,472.8359,352.8546,1.2585,8.0771,-1.031,461
3332,13,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,13,484.4801,388.8699,1.2571,0.0,0.0,464
3335,13,487.8118,387.7994,1.2576,0.0,0.0,465
3336,13,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,13,477.4743,367.2217,1.2585,8.5079,-2.2731,461
3338,13,480.2273,364.3605,1.2585,9.4041,-3.0199,462
3340,13,473.0797,353.6097,1.2585,7.8661,-2.7162,461
3332,14,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,14,484.4801,388.8699,1.2571,0.0,0.0,464
3335,14,487.8118,387.7994,1.2576,0.0,0.0,465
3336,14,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,14,477.7279,368.007,1.2585,8.1557,-3.8456,461
3338,14,480.5074,365.2282,1.2585,9.0368,-3.2136,462
3340,14,473.3176,354.3466,1.2585,7.7016,-1.7013,461
3332,15,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,15,484.4801,388.8699,1.2571,0.0,0.0,464
3335,15,487.8118,387.7994,1.2576,0.0,0.0,465
3336,15,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,15,477.9716,368.7619,1.2585,7.8873,-1.79,461
3338,15,480.7773,366.0645,1.2585,8.704,-3.361,462
3340,15,473.5495,355.0648,1.2585,7.4933,-2.1132,461
3332,16,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,16,484.4801,388.8699,1.2571,0.0,0.0,464
3335,16,487.8118,387.7994,1.2576,0.0,0.0,465
3336,16,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,16,478.2053,369.4859,1.2585,7.5309,-3.0996,461
3338,16,481.0376,366.8708,1.2585,8.4097,-2.5175,462
3340,16,473.7769,355.7692,1.2585,7.3326,-2.7666,461
3332,17,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,17,484.4801,388.8699,1.2571,0.0,0.0,464
3335,17,487.8118,387.7994,1.2576,0.0,0.0,465
3336,17,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,17,478.4302,370.1826,1.2585,7.2629,-2.2899,461
3338,17,481.2874,367.6449,1.2585,8.0508,-3.3388,462
3340,17,473.9986,356.4559,1.2585,7.1669,-1.968,461
3332,18,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,18,484.4801,388.8699,1.2571,0.0,0.0,464
3335,18,487.8118,387.7994,1.2576,0.0,0.0,465
3336,18,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,18,478.647,370.854,1.2585,6.981,-2.9841,461
3338,18,481.5272,368.3877,1.2585,7.7051,-3.9786,462
3340,18,474.2159,357.1289,1.2585,7.0312,-1.6069,461
3332,19,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,19,484.4801,388.8699,1.2571,0.0,0.0,464
3335,19,487.8118,387.7994,1.2576,0.0,0.0,465
3336,19,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,19,478.8533,371.493,1.2585,6.6385,-3.0181,461
3338,19,481.7574,369.101,1.2585,7.4,-3.8155,462
3340,19,474.4275,357.7844,1.2585,6.8347,-2.1384,461
3332,20,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,20,484.4801,388.8699,1.2571,0.0,0.0,464
3335,20,487.8118,387.7994,1.2576,0.0,0.0,465
3336,20,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,20,479.0513,372.1063,1.2585,6.3897,-2.1963,461
3338,20,481.9786,369.7864,1.2585,7.1234,-3.1534,462
3340,20,474.6334,358.4221,1.2585,6.6659,-1.4156,461
3332,21,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,21,484.4801,388.8699,1.2571,0.0,0.0,464
3335,21,487.8118,387.7994,1.2576,0.0,0.0,465
3336,21,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,21,479.2407,372.693,1.2585,6.0966,-2.7509,461
3338,21,482.1893,370.4392,1.2585,6.7715,-3.4847,462
3340,21,474.835,359.0465,1.2585,6.5119,-1.9738,461
3332,22,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,22,484.4801,388.8699,1.2571,0.0,0.0,464
3335,22,487.8118,387.7994,1.2576,0.0,0.0,465
3336,22,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,22,479.4226,373.2562,1.2585,5.8472,-2.8459,461
3338,22,482.3914,371.0653,1.2585,6.503,-3.0495,462
3340,22,475.0312,359.6543,1.2585,6.3389,-1.8987,461
3332,23,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,23,484.4801,388.8699,1.2571,0.0,0.0,464
3335,23,487.8118,387.7994,1.2576,0.0,0.0,465
3336,23,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,23,479.5952,373.7908,1.2585,5.5409,-3.0558,461
3338,23,482.5842,371.6626,1.2585,6.1915,-3.3826,462
3340,23,475.2222,360.2459,1.2585,6.1599,-2.2633,461
3332,24,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,24,484.4801,388.8699,1.2571,0.0,0.0,464
3335,24,487.8118,387.7994,1.2576,0.0,0.0,465
3336,24,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,24,479.7591,374.2985,1.2585,5.2583,-3.0683,461
3338,24,482.7687,372.2342,1.2585,5.925,-3.258,462
3340,24,475.4084,360.8225,1.2585,6.0382,-0.8116,461
3332,25,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,25,484.4801,388.8699,1.2571,0.0,0.0,464
3335,25,487.8118,387.7994,1.2576,0.0,0.0,465
3336,25,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,25,479.9159,374.7841,1.2585,5.0565,-1.837,461
3338,25,482.9442,372.778,1.2585,5.6313,-3.3095,462
3340,25,475.5894,361.3834,1.2585,5.8739,-0.7924,461
3332,26,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,26,484.4801,388.8699,1.2571,0.0,0.0,464
3335,26,487.8118,387.7994,1.2576,0.0,0.0,465
3336,26,501.8163,396.6737,-3.4535,0.0,0.0,1155
3337,26,480.0648,375.2455,1.2585,4.7987,-1.9784,461
3338,26,483.1105,373.2932,1.2585,5.3538,-2.3976,462
3340,26,475.766,361.9302,1.2585,5.6848,-2.4629,461
3332,27,500.6189,393.3831,-3.4541,0.0,0.0,1154
3334,27,484.4801,388.8699,1.2571,0.0,0.0,464
3335,27,487.8118,387.7994,1.2576,0.0,0.0,465
3336,27,501.8163,396.6737,-3.4535,0.0,0.0,1155
