timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,3332.0,Front-right,72.62,-10.49,68.11,-8.88,-15.29,0.0,-0.0,0.0,4.45,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,3334.0,Front-left,60.22,3.49,55.71,1.88,-8.86,-0.01,-1.94,-5.97,6.29,180.58,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3335.0,Front,63.36,-0.01,58.85,0.0,-14.88,-0.0,-1.83,-5.65,3.96,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,3336.0,Front-right,76.12,-10.62,71.61,-9.01,-15.29,0.0,-0.0,0.0,4.68,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,3337.0,Front-left,28.04,3.5,23.53,1.89,-2.44,-0.0,-1.17,-3.62,9.66,8502.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3338.0,Front,24.99,0.0,20.48,0.0,-1.52,-0.0,-1.39,-4.32,13.48,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,3340.0,Front-left,15.44,3.5,10.93,1.89,-4.81,-0.0,-1.0,-3.11,2.27,10428.55,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3332.0,Front-right,71.09,-10.49,66.58,-8.88,-15.29,0.0,-0.0,0.0,4.35,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,3334.0,Front-left,59.29,3.49,54.78,1.88,-9.48,-0.01,-1.94,-5.97,5.78,200.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3335.0,Front,61.84,-0.01,57.33,0.0,-15.29,-0.0,-0.74,-2.28,3.75,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,3336.0,Front-right,74.59,-10.62,70.08,-9.01,-15.29,0.0,-0.0,0.0,4.58,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,3337.0,Front-left,27.77,3.5,23.26,1.89,-2.82,-0.0,-1.22,-3.78,8.26,8762.42,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3338.0,Front,24.81,0.0,20.3,0.0,-1.89,-0.0,-1.14,-3.52,10.72,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,3340.0,Front-left,14.94,3.5,10.43,1.89,-5.01,-0.0,-0.49,-1.51,2.08,10626.44,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3332.0,Front-right,69.56,-10.48,65.05,-8.87,-15.29,0.0,-0.0,0.0,4.25,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,3334.0,Front-left,58.29,3.49,53.78,1.88,-10.11,-0.01,-1.94,-5.97,5.32,249.64,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3335.0,Front,60.31,-0.01,55.8,0.0,-15.29,-0.0,-0.0,-0.0,3.65,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
3.0,3336.0,Front-right,73.06,-10.61,68.55,-9.0,-15.29,0.0,-0.0,0.0,4.48,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,3337.0,Front-left,27.45,3.5,22.95,1.89,-3.25,0.0,-1.17,-3.62,7.05,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,3338.0,Front,24.59,0.0,20.08,0.0,-2.31,0.0,-1.45,-4.49,8.7,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
3.0,3340.0,Front-left,14.42,3.5,9.91,1.89,-5.29,0.0,-0.93,-2.89,1.87,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,3332.0,Front-right,68.04,-10.44,63.53,-8.83,-15.29,0.0,-0.0,-0.0,4.15,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
4.0,3334.0,Front-left,57.23,3.53,52.72,1.92,-10.74,-0.0,-1.94,-5.97,4.91,479.76,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,3335.0,Front,58.78,0.02,54.27,0.0,-15.29,-0.0,-0.0,-0.0,3.55,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,3336.0,Front-right,71.54,-10.57,67.03,-8.96,-15.29,0.0,-0.0,-0.0,4.38,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
4.0,3337.0,Front-left,27.1,3.52,22.59,1.91,-3.62,0.01,-0.97,-2.99,6.23,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,3338.0,Front,24.33,0.02,19.82,0.0,-2.68,0.01,-1.23,-3.8,7.39,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,3340.0,Front-left,13.87,3.51,9.36,1.9,-5.53,0.01,-0.7,-2.15,1.69,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,3332.0,Front-right,66.53,-10.32,62.02,-8.71,-15.29,0.0,-0.0,-0.0,4.06,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
5.0,3334.0,Front-left,56.1,3.63,51.6,2.02,-11.37,0.0,-1.94,-5.97,4.54,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,3335.0,Front,57.25,0.13,52.74,0.0,-15.29,0.0,-0.0,-0.0,3.45,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
5.0,3336.0,Front-right,70.03,-10.44,65.52,-8.83,-15.29,0.0,-0.0,-0.0,4.28,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
5.0,3337.0,Front-left,26.7,3.57,22.19,1.96,-4.02,0.03,-1.33,-4.11,5.52,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,3338.0,Front,24.04,0.07,19.53,0.0,-3.02,0.03,-1.06,-3.3,6.47,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
5.0,3340.0,Front-left,13.29,3.54,8.79,1.93,-5.75,0.02,-0.7,-2.16,1.53,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
6.0,3332.0,Front-right,65.02,-10.16,60.51,-8.55,-15.29,0.0,-0.0,-0.0,3.96,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
6.0,3334.0,Front-left,54.91,3.76,50.4,2.15,-11.99,0.01,-1.94,-5.97,4.2,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
6.0,3335.0,Front,55.72,0.27,51.21,0.0,-15.29,0.0,-0.0,-0.0,3.35,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
6.0,3336.0,Front-right,68.52,-10.27,64.01,-8.66,-15.29,0.0,-0.0,-0.0,4.19,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
6.0,3337.0,Front-left,26.26,3.64,21.75,2.03,-4.41,0.05,-1.16,-3.61,4.93,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
6.0,3338.0,Front,23.71,0.13,19.2,0.0,-3.4,0.06,-1.09,-3.38,5.64,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
6.0,3340.0,Front-left,12.69,3.57,8.18,1.96,-5.99,0.04,-0.72,-2.24,1.37,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,3332.0,Front-right,63.5,-10.08,59.0,-8.47,-15.29,0.0,-0.0,-0.0,3.86,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
7.0,3334.0,Front-left,53.66,3.83,49.15,2.22,-12.62,0.01,-1.94,-5.97,3.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,3335.0,Front,54.19,0.33,49.68,0.0,-15.29,0.0,-0.0,-0.0,3.25,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
7.0,3336.0,Front-right,67.0,-10.19,62.5,-8.58,-15.29,0.0,-0.0,-0.0,4.09,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
7.0,3337.0,Front-left,25.79,3.68,21.28,2.07,-4.79,0.06,-1.32,-4.09,4.44,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,3338.0,Front,23.34,0.16,18.83,0.0,-3.77,0.07,-1.08,-3.33,5.0,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
7.0,3340.0,Front-left,12.07,3.6,7.56,1.99,-6.2,0.05,-0.42,-1.29,1.22,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,3332.0,Front-right,62.0,-9.95,57.49,-8.34,-15.29,0.0,-0.0,-0.0,3.76,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
8.0,3334.0,Front-left,52.34,3.94,47.84,2.33,-13.25,0.01,-1.94,-5.97,3.61,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,3335.0,Front,52.66,0.44,48.15,0.0,-15.29,0.0,-0.0,-0.0,3.15,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
8.0,3336.0,Front-right,65.5,-10.05,60.99,-8.44,-15.29,0.0,-0.0,-0.0,3.99,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
8.0,3337.0,Front-left,25.27,3.74,20.77,2.13,-5.14,0.08,-0.95,-2.94,4.04,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,3338.0,Front,22.94,0.22,18.43,0.0,-4.11,0.09,-1.11,-3.43,4.49,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
8.0,3340.0,Front-left,11.43,3.63,6.92,2.02,-6.44,0.07,-0.71,-2.19,1.07,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,3332.0,Front-right,60.49,-9.81,55.98,-8.2,-15.29,0.0,0.02,0.06,3.66,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
9.0,3334.0,Front-left,50.96,4.06,46.45,2.45,-13.87,0.01,-1.92,-5.91,3.35,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,3335.0,Front,51.13,0.57,46.62,0.0,-15.29,0.0,0.02,0.06,3.05,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
9.0,3336.0,Front-right,63.99,-9.9,59.48,-8.29,-15.29,0.0,0.02,0.06,3.89,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
9.0,3337.0,Front-left,24.72,3.81,20.21,2.2,-5.5,0.1,-0.94,-2.92,3.67,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,3338.0,Front,22.5,0.29,17.99,0.0,-4.47,0.11,-0.96,-2.98,4.02,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
9.0,3340.0,Front-left,10.76,3.66,6.25,2.05,-6.66,0.09,-0.6,-1.87,0.94,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,3332.0,Front-right,58.97,-9.75,54.46,-8.14,-15.27,0.0,0.04,0.12,3.57,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
10.0,3334.0,Front-left,49.52,4.11,45.02,2.5,-14.47,0.01,-1.86,-5.74,3.11,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,3335.0,Front,49.6,0.61,45.09,0.0,-15.27,0.0,0.04,0.12,2.95,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
10.0,3336.0,Front-right,62.47,-9.84,57.96,-8.23,-15.27,0.0,0.04,0.12,3.8,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
10.0,3337.0,Front-left,24.14,3.84,19.63,2.23,-5.83,0.11,-0.98,-3.04,3.37,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,3338.0,Front,22.02,0.32,17.51,0.0,-4.83,0.12,-1.04,-3.23,3.63,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
10.0,3340.0,Front-left,10.07,3.68,5.57,2.07,-6.82,0.1,-0.64,-1.99,0.82,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,3332.0,Front-right,57.46,-9.66,52.95,-8.05,-15.23,0.0,0.06,0.18,3.48,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
11.0,3334.0,Front-left,48.02,4.19,43.52,2.58,-15.05,0.0,-1.8,-5.55,2.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,3335.0,Front,48.07,0.69,43.57,0.0,-15.23,0.0,0.06,0.18,2.86,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
11.0,3336.0,Front-right,60.96,-9.74,56.45,-8.13,-15.23,0.0,0.06,0.18,3.71,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
11.0,3337.0,Front-left,23.53,3.89,19.02,2.28,-6.12,0.12,-0.86,-2.68,3.11,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,3338.0,Front,21.51,0.37,17.0,0.0,-5.14,0.13,-1.06,-3.29,3.31,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
11.0,3340.0,Front-left,9.37,3.71,4.86,2.1,-7.02,0.11,-0.58,-1.8,0.69,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
12.0,3332.0,Front-right,55.95,-9.56,51.44,-7.95,-15.2,0.0,0.08,0.23,3.38,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
12.0,3334.0,Front-left,46.49,4.28,41.98,2.67,-15.2,0.0,0.05,0.15,2.76,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
12.0,3335.0,Front,46.55,0.78,42.04,0.0,-15.2,0.0,0.08,0.23,2.77,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
12.0,3336.0,Front-right,59.45,-9.63,54.94,-8.02,-15.2,0.0,0.08,0.23,3.61,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
12.0,3337.0,Front-left,22.88,3.95,18.38,2.34,-6.37,0.13,-0.83,-2.58,2.88,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
12.0,3338.0,Front,20.97,0.42,16.46,0.0,-5.45,0.14,-0.95,-2.96,3.02,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
