obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
3655,1,431.8999,21.3726,-1.5285,11.8808,-4.8083,945
3656,1,457.6374,-1.5679,3.1035,3.687,0.4491,2697
3657,1,428.1297,27.7349,-1.528,13.4171,-4.1118,946
3658,1,435.531,18.2587,-1.5314,11.6477,-5.8889,944
3659,1,438.6432,27.625,-1.528,15.9886,-6.0928,943
3660,1,459.8456,-5.1683,3.0834,5.5649,-4.9384,2696
3661,1,462.0855,-8.8416,3.0525,7.907,-5.4604,2695
3655,2,431.9483,20.2216,-1.5287,11.3999,-4.8083,945
3656,2,457.2706,-1.5553,3.1071,3.6777,0.2391,2697
3657,2,428.1857,26.4253,-1.528,13.0059,-4.112,946
3658,2,435.5735,17.1385,-1.5328,11.0588,-5.8889,944
3659,2,438.7095,26.0734,-1.528,15.3794,-6.0928,943
3660,2,459.3268,-5.1405,3.088,5.0711,-4.9384,2696
3661,2,461.3388,-8.7806,3.0602,7.361,-5.4604,2695
3655,3,431.9927,19.1179,-1.5305,10.9191,-4.8083,945
3656,3,456.9023,-1.5437,3.1102,3.7001,0.5771,848
3657,3,428.2399,25.1568,-1.528,12.5947,-4.1122,946
3658,3,435.6118,16.0778,-1.5347,10.4715,-5.8585,949
3659,3,438.7733,24.5826,-1.528,14.7701,-6.0928,943
3660,3,458.8572,-5.117,3.0915,4.5772,-4.9384,2696
3661,3,460.6457,-8.7306,3.0695,6.8169,-5.4604,2695
3655,4,432.0339,18.0621,-1.5318,10.4382,-4.8083,945
3656,4,456.5362,-1.5332,3.1128,3.659,-0.1441,848
3657,4,428.2924,23.9294,-1.528,12.1835,-4.1124,946
3658,4,435.6467,15.0758,-1.5359,9.8826,-5.8889,949
3659,4,438.8344,23.1527,-1.528,14.1608,-6.0928,943
3660,4,458.4369,-5.0972,3.0946,4.0834,-4.9384,2696
3661,4,460.006,-8.6897,3.0778,6.2776,-5.3253,2695
3655,5,432.0721,17.0547,-1.5329,9.9574,-4.8083,945
3656,5,456.1694,-1.5235,3.1151,3.6548,-0.5827,855
3657,5,428.3431,22.7431,-1.528,11.7722,-4.1126,946
3658,5,435.6788,14.1326,-1.5368,9.2937,-5.8889,949
3659,5,438.8929,21.7836,-1.528,13.5517,-6.0928,943
3660,5,458.0323,-5.0805,3.1003,4.0405,-0.468,2696
3661,5,459.4202,-8.6559,3.0839,5.7315,-5.4604,2695
3655,6,432.1068,16.096,-1.5345,9.4766,-4.8083,950
3656,6,455.8005,-1.5145,3.1172,3.6799,-0.4118,855
3657,6,428.392,21.5978,-1.528,11.3609,-4.1129,946
3658,6,435.7082,13.2482,-1.5374,8.7048,-5.8889,949
3659,6,438.9485,20.4753,-1.5283,12.9425,-6.0928,943
3660,6,457.628,-5.0656,3.1047,4.0261,-0.8245,2696
