timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,3655.0,Front-right,14.29,-3.5,9.78,-1.89,1.81,-0.01,-0.13,3.03,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,3656.0,Front-left,38.31,21.23,33.8,19.62,-10.37,-3.67,-0.37,-1.76,3.26,5.34,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3657.0,Front-right,7.77,-7.0,3.27,-5.39,3.35,0.0,-0.1,2.33,inf,6405.42,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3658.0,Front,17.56,-0.01,13.05,0.0,1.58,-0.04,-0.16,4.11,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,3659.0,Front-left,8.33,3.5,3.82,1.89,5.92,0.0,-0.18,4.31,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,3660.0,Front-left,42.0,23.28,37.49,21.67,-10.63,-5.54,5.01,-2.06,3.53,3.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3661.0,Front-left,45.77,25.37,41.26,23.76,-11.11,-7.84,5.51,-2.26,3.71,3.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3655.0,Front-right,14.42,-3.51,9.91,-1.9,1.75,-0.01,-0.1,2.44,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,3656.0,Front-left,37.26,20.86,32.76,19.25,-9.94,-3.67,-0.14,-2.36,3.3,5.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3657.0,Front-right,8.06,-7.0,3.55,-5.39,3.35,-0.0,-0.07,1.74,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,3658.0,Front,17.66,-0.02,13.15,0.0,1.41,-0.05,-0.12,3.52,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,3659.0,Front-left,8.86,3.5,4.36,1.89,5.73,-0.0,-0.16,3.72,inf,760.3,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3660.0,Front-left,40.93,22.76,36.43,21.15,-10.14,-5.05,5.03,-2.63,3.59,4.19,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3661.0,Front-left,44.66,24.61,40.15,23.0,-10.57,-7.3,5.54,-2.81,3.8,3.15,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3655.0,Front-right,14.54,-3.51,10.03,-1.9,1.6,-0.03,-0.1,2.72,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
3.0,3656.0,Front-left,36.25,20.49,31.74,18.88,-9.6,-3.69,-0.49,-2.07,3.31,5.12,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3657.0,Front-right,8.34,-7.0,3.83,-5.39,3.27,-0.0,-0.09,2.02,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
3.0,3658.0,Front,17.73,-0.02,13.22,0.0,1.15,-0.07,-0.12,3.77,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,3659.0,Front-left,9.37,3.5,4.86,1.89,5.45,-0.0,-0.17,4.0,inf,750.38,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
