obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30604,1,-148.1313,-73.9609,-1.5732,4.7219,1.1611,2235
30605,1,-172.5562,-82.4207,-0.0032,0.6583,-0.6484,9
30606,1,-144.6392,-77.0287,-1.5734,6.3462,2.851,1359
30607,1,-148.12,-63.5634,-1.5707,3.5786,1.9288,988
30608,1,-148.12,-54.0997,-1.5707,2.4737,1.6054,988
30609,1,-164.3927,-82.4471,-0.0032,0.0632,-0.0519,9
30610,1,-141.1784,-94.4209,-4.7118,0.0,0.0,985
30611,1,-156.8309,-82.4715,-0.0032,0.0,0.0,9
30612,1,-148.12,-45.1453,-1.5707,1.6261,1.4591,988
30613,1,-141.1739,-102.0712,-4.7118,0.1559,-0.104,985
30614,1,-141.1692,-110.1083,1.5713,0.5344,-0.4844,985
30615,1,-197.7555,-82.3392,-0.0032,5.4672,-1.7625,9
30616,1,-221.8288,-82.2614,-0.0032,10.0028,-2.8606,9
30617,1,-182.5223,-82.3885,-0.0032,2.0501,-0.828,9
30618,1,-242.4342,-82.1948,-0.0032,11.1416,-1.7985,9
30619,1,-291.4263,-82.0364,-0.0032,9.5375,0.8967,9
30620,1,-148.12,-32.7092,-1.5707,3.973,-1.6799,988
30621,1,-258.726,-82.1421,-0.0032,10.4213,-0.3006,9
30622,1,-274.9677,-82.0896,-0.0032,9.8257,-1.0317,9
30624,1,-144.62,-39.5059,-1.5707,14.0504,-1.3447,989
30625,1,-144.62,-15.0494,-1.5707,14.8786,-0.5814,989
30626,1,-137.6632,-120.2523,1.5714,16.1845,-4.9909,986
30627,1,-148.12,-22.6466,-1.5707,3.1157,-0.1157,988
30604,2,-148.1325,-74.4445,-1.5732,4.8732,1.458,2235
30605,2,-172.4944,-82.4209,-0.0032,0.6059,-0.4616,9
30606,2,-144.6409,-77.6799,-1.5734,6.5606,1.9662,1359
30607,2,-148.12,-63.9357,-1.5707,3.7715,1.9288,988
30608,2,-148.12,-54.3585,-1.5707,2.6261,1.5298,988
30609,2,-164.3869,-82.4471,-0.0032,0.0573,-0.0425,9
30610,2,-141.1784,-94.4209,-4.7118,0.0,0.0,985
30611,2,-156.8309,-82.4715,-0.0032,0.0,0.0,9
30612,2,-148.12,-45.3168,-1.5707,1.7484,1.3555,988
30613,2,-141.1739,-102.0567,-4.7118,0.1417,-0.1341,985
30614,2,-141.1692,-110.0579,-4.7118,0.494,-0.387,985
30615,2,-197.226,-82.3409,-0.0032,5.2471,-1.8937,9
30616,2,-220.8409,-82.2646,-0.0032,9.8116,-2.6965,9
30617,2,-182.3236,-82.3891,-0.0032,1.9725,-0.5611,9
30618,2,-241.3355,-82.1983,-0.0032,10.9611,-1.0397,9
30619,2,-290.4752,-82.0395,-0.0032,9.5388,1.1138,9
30620,2,-148.12,-33.0999,-1.5707,3.88,-1.0687,988
30621,2,-257.6953,-82.1455,-0.0032,10.2935,-0.5328,9
30622,2,-273.9867,-82.0928,-0.0032,9.7655,-1.7678,9
30624,2,-144.62,-40.903,-1.5707,13.9404,-1.2551,989
30625,2,-144.62,-16.5296,-1.5707,14.7794,-0.9203,989
30626,2,-137.6641,-118.6713,1.5713,15.6854,-4.9909,986
30627,2,-148.12,-22.9587,-1.5707,3.1138,-0.249,988
30604,3,-148.1338,-74.942,-1.5733,5.0133,1.5656,2235
30605,3,-172.4379,-82.4211,-0.0032,0.5546,-0.4314,9
30606,3,-144.6428,-78.3524,-1.5735,6.7772,2.0606,1359
30607,3,-148.12,-64.3273,-1.5707,3.9644,1.9288,988
30608,3,-148.12,-54.636,-1.5707,2.8276,2.1315,988
30609,3,-164.3816,-82.4471,-0.0032,0.0513,-0.0651,9
30610,3,-141.1784,-94.4209,-4.7118,0.0,0.0,985
30611,3,-156.8309,-82.4715,-0.0032,0.0,0.0,9
30612,3,-148.12,-45.5015,-1.5707,1.8782,1.2615,988
30613,3,-141.1739,-102.0438,-4.7118,0.1259,-0.1185,985
