timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30555.0,Front-right,81.64,-12.39,77.13,-10.78,-17.61,1.54,4.39,0.19,4.38,6.98,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30556.0,Front-right,71.27,-3.48,66.76,-1.87,-17.62,0.0,-0.0,0.19,3.79,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30557.0,Front-right,81.43,-40.0,76.92,-38.39,-17.53,10.78,3.86,0.17,4.39,3.56,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30558.0,Front-right,81.19,-69.09,76.69,-67.48,-17.5,14.57,2.9,0.18,4.38,4.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30559.0,Front-right,81.01,-91.89,76.5,-90.28,-17.5,14.81,2.87,0.18,4.37,6.1,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30560.0,Front,72.03,0.02,67.52,0.0,-17.62,0.0,-0.0,0.19,3.83,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,30561.0,Front-right,54.21,-3.47,49.7,-1.86,-11.81,0.0,0.01,-2.02,4.21,625.02,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30562.0,Front-right,80.83,-114.76,76.32,-113.15,-17.5,14.65,1.39,0.18,4.36,7.72,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30563.0,Front-left,66.69,3.51,62.18,1.9,-10.34,0.02,0.04,-5.53,6.02,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30564.0,Front-left,69.82,7.01,65.31,5.4,-14.03,0.01,0.03,-4.58,4.66,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30565.0,Front-right,80.68,-132.98,76.18,-131.37,-17.51,13.49,0.77,0.19,4.35,9.74,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30566.0,Front-right,80.54,-151.26,76.03,-149.65,-17.52,12.28,1.46,0.18,4.34,12.19,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30567.0,Front-right,80.43,-165.1,75.92,-163.49,-17.53,10.36,-0.71,0.19,4.33,15.78,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30568.0,Front-left,42.89,3.5,38.38,1.89,-6.86,-0.0,0.01,-3.37,5.59,1986.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30569.0,Front-right,80.34,-176.33,75.83,-174.72,-17.55,8.01,-0.65,0.19,4.32,21.82,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
